"Home...Away","AUG","BAY","BOC","DOR","EIN","FRE","HEI","HOF","HOL","LEV","M'G","MAI","RB ","ST ","STU","UNI","WER","WOL"
"Augsburg",NA,"1~3","1~0","2~1","0~0","0~0","2~1","0~0","1~3","0~2","2~1","2~3","0~0","3~1","0~1","1~2","2~2","1~0"
"Bayern Munich","3~0",NA,"2~3","2~2","4~0","2~0","4~2","5~0","4~3","1~1","2~0","3~0","5~1","3~2","4~0","3~0","3~0","3~2"
"Bochum","1~2","0~5",NA,"2~0","1~3","0~1","2~0","0~1","2~2","1~1","0~2","1~4","3~3","1~0","0~4","1~1","0~1","1~3"
"Dortmund","0~1","1~1","4~2",NA,"2~0","4~0","4~2","1~1","3~0","2~3","3~2","3~1","2~1","2~1","1~2","6~0","2~2","4~0"
"Ein Frankfurt","2~2","3~3","7~2","2~0",NA,"4~1","3~0","3~1","3~1","1~4","2~0","1~3","4~0","2~2","1~0","1~2","1~0","1~1"
"Freiburg","3~1","1~2","2~1","1~4","1~3",NA,"1~0","3~2","3~2","2~2","3~1","0~0","0~0","0~3","3~1","1~2","5~0","3~2"
"Heidenheim","4~0","0~4","0~0","1~2","0~4","0~3",NA,"0~0","3~1","0~1","0~3","0~2","0~1","0~2","1~3","2~0","1~4","1~3"
"Hoffenheim","1~1","0~4","3~1","2~3","2~2","1~1","1~1",NA,"3~2","1~4","1~2","2~0","4~3","0~2","1~1","0~4","3~4","0~1"
"Holstein Kiel","5~1","1~6","2~2","4~2","2~4","1~2","1~0","1~3",NA,"0~2","4~3","0~3","0~2","1~2","2~2","0~2","0~3","0~2"
"Leverkusen","2~0","0~0","3~1","2~4","2~1","5~1","5~2","3~1","2~2",NA,"3~1","1~0","2~3","2~1","0~0","0~0","0~2","4~3"
"M'gladbach","0~3","0~1","3~0","1~1","1~1","1~2","3~2","4~4","4~1","2~3",NA,"1~3","1~0","2~0","1~3","1~0","4~1","0~1"
"Mainz","0~0","2~1","2~0","3~1","1~1","2~2","0~2","2~0","1~1","2~2","1~1",NA,"0~2","2~0","2~0","1~1","1~2","2~2"
"RB Leipzig","4~0","3~3","1~0","2~0","2~1","3~1","2~2","3~1","1~1","2~2","0~0","1~2",NA,"2~0","2~3","0~0","4~2","1~5"
"St Pauli","1~1","0~1","0~2","0~2","0~1","0~1","0~2","1~0","3~1","1~1","1~1","0~3","0~0",NA,"0~1","3~0","0~2","0~0"
"Stuttgart","4~0","1~3","2~0","5~1","2~3","4~0","0~1","1~1","2~1","3~4","1~2","3~3","2~1","0~1",NA,"3~2","1~2","1~2"
"Union Berlin","0~2","1~1","0~2","2~1","1~1","0~0","0~3","2~1","0~1","1~2","1~2","2~1","0~0","1~0","4~4",NA,"2~2","1~0"
"Werder Bremen","0~2","0~5","1~0","0~0","2~0","0~1","3~3","1~3","2~1","2~2","2~4","1~0","0~0","0~0","2~2","4~1",NA,"1~2"
"Wolfsburg","1~1","2~3","1~1","1~3","1~2","0~1","0~1","2~2","2~2","0~0","5~1","4~3","2~3","1~1","2~2","1~0","2~4",NA
