"Home...Away","ALA","ATH","ATH","BAR","BET","CEL","ESP","GET","GIR","LAS","LEG","MAL","OSA","REA","SEV","SOC","VAL","VAL","VAL","VIL"
"Alaves",NA,"1~1","0~0","0~3","0~0","1~1","0~1","0~1","0~1","2~0","1~1","1~0","1~1","0~1","2~1","1~0","1~0","2~3","0~2","1~0"
"Ath Bilbao","1~0",NA,"0~1","0~3","1~1","3~1","4~1","1~1","3~0","1~0","0~0","1~1","0~0","2~1","1~1","1~0","1~0","7~1","3~1","2~0"
"Ath Madrid","2~1","1~0",NA,"2~4","4~1","1~1","0~0","1~0","3~0","2~0","3~1","2~0","1~0","1~1","4~3","4~0","3~0","4~2","3~0","1~1"
"Barcelona","1~0","2~1","1~2",NA,"1~1","4~3","3~1","1~0","4~1","1~2","0~1","1~0","3~0","4~3","5~1","4~0","7~1","7~0","1~0","2~3"
"Betis","1~3","2~2","1~0","2~2",NA,"2~2","1~0","2~1","1~1","1~0","2~0","1~2","1~1","2~1","2~1","3~0","1~1","5~1","1~1","1~2"
"Celta","2~1","1~2","0~1","2~2","3~2",NA,"0~2","1~0","1~1","1~1","2~1","2~0","1~0","1~2","3~2","2~0","3~1","3~1","1~2","3~0"
"Espanol","3~2","1~1","1~1","0~2","1~2","3~1",NA,"1~0","1~1","2~0","1~1","2~1","0~0","1~0","0~2","0~1","1~1","2~1","2~1","1~2"
"Getafe","2~0","0~2","2~1","1~1","1~2","1~2","1~0",NA,"0~1","1~3","1~1","0~1","1~1","0~1","0~0","0~0","1~1","2~0","0~0","1~2"
"Girona","0~1","2~1","0~4","1~4","1~3","2~2","4~1","1~2",NA,"2~1","4~3","1~0","4~0","0~3","1~2","0~1","1~1","3~0","0~0","0~1"
"Las Palmas","2~2","2~3","1~0","0~2","1~1","0~1","1~0","1~2","1~0",NA,"0~1","2~3","1~1","1~1","2~2","1~3","2~3","2~1","0~1","1~2"
"Leganes","3~3","0~2","1~0","0~1","2~3","3~0","3~2","1~0","1~1","2~1",NA,"0~1","1~1","0~3","1~0","0~3","0~0","3~0","0~1","2~5"
"Mallorca","1~1","0~0","0~1","1~5","0~1","1~2","2~1","1~2","2~1","3~1","0~0",NA,"1~1","1~1","0~0","1~0","2~1","2~1","1~0","1~2"
"Osasuna","2~2","1~2","2~0","4~2","1~2","3~2","2~0","1~2","2~1","2~1","1~1","1~0",NA,"1~1","1~0","2~1","3~3","1~0","1~1","2~2"
"Real Madrid","3~2","1~0","1~1","0~4","2~0","3~2","4~1","2~0","2~0","4~1","3~2","2~1","4~0",NA,"4~2","2~0","1~2","3~0","2~1","2~0"
"Sevilla","1~1","0~1","1~2","1~4","1~0","1~0","1~1","1~0","0~2","1~0","2~2","1~1","1~1","0~2",NA,"0~2","1~1","2~1","1~0","1~2"
"Sociedad","1~2","0~0","1~1","1~0","2~0","0~1","2~1","0~3","3~2","0~0","3~0","0~2","0~2","0~2","0~1",NA,"3~0","2~1","1~2","1~0"
"Valencia","2~2","0~1","0~3","1~2","4~2","2~1","1~1","3~0","2~0","2~3","2~0","1~0","0~0","1~2","1~0","1~0",NA,"2~1","0~1","1~1"
"Valladolid","0~1","1~1","0~5","1~2","1~0","0~1","1~0","0~4","0~1","1~1","0~0","1~2","2~3","0~3","0~4","0~0","1~0",NA,"1~2","1~2"
"Vallecano","1~0","1~2","1~1","1~2","2~2","2~1","0~4","1~0","2~1","1~3","1~1","0~0","3~1","3~3","1~1","2~2","1~1","1~0",NA,"0~1"
"Villarreal","3~0","0~0","2~2","1~5","1~2","4~3","1~0","1~1","2~2","3~1","3~0","4~0","4~2","1~2","4~2","2~2","1~1","5~1","1~1",NA
