"Home...Away","ANG","AUX","BRE","LE ","LEN","LIL","LYO","MAR","MON","MON","NAN","NIC","PAR","REI","REN","ST ","STR","TOU"
"Angers",NA,"2~0","2~0","1~1","0~1","0~2","0~3","0~2","0~2","2~0","1~1","1~4","2~4","1~3","0~3","4~2","2~1","0~4"
"Auxerre","1~0",NA,"3~0","1~2","2~2","0~0","1~3","3~0","0~3","1~0","1~1","2~1","0~0","2~1","4~0","1~1","0~1","2~2"
"Brest","2~0","2~2",NA,"2~0","1~3","2~0","2~1","1~5","2~1","1~0","4~1","0~1","2~5","0~0","1~1","4~0","3~1","2~0"
"Le Havre","0~1","3~1","0~1",NA,"1~2","0~3","0~4","1~3","1~1","1~0","3~2","1~3","1~4","0~3","1~5","1~1","0~3","1~4"
"Lens","1~0","0~4","2~0","3~4",NA,"0~2","0~0","1~3","4~0","2~0","3~2","0~0","1~2","0~2","1~0","1~0","0~2","0~1"
"Lille","2~0","3~1","3~1","1~2","1~0",NA,"1~1","1~1","2~1","1~0","1~1","2~1","1~3","2~1","1~0","4~1","3~3","2~1"
"Lyon","2~0","2~2","2~1","4~2","1~2","2~1",NA,"2~3","0~2","1~0","2~0","4~1","2~3","4~0","4~1","1~0","4~3","0~0"
"Marseille","1~1","1~3","4~1","5~1","0~1","1~1","3~2",NA,"2~1","5~1","2~0","2~0","0~3","2~2","4~2","5~1","1~1","3~2"
"Monaco","0~1","4~2","3~2","3~1","1~1","0~0","2~0","3~0",NA,"2~1","7~1","2~1","2~4","3~0","3~2","1~0","0~0","2~0"
"Montpellier","1~3","3~2","3~1","0~2","0~2","2~2","1~4","0~5","2~1",NA,"1~3","2~2","1~4","0~0","0~4","0~2","1~1","0~3"
"Nantes","0~1","2~0","0~2","0~2","3~1","1~0","1~1","1~2","2~2","3~0",NA,"1~1","1~1","1~2","1~0","2~2","0~1","0~0"
"Nice","2~1","1~1","6~0","2~1","2~0","2~2","0~2","2~0","2~1","2~0","1~2",NA,"1~1","1~0","3~2","8~0","2~1","1~1"
"Paris SG","1~0","3~1","3~1","2~1","1~0","4~1","3~1","3~1","4~1","6~0","1~1","1~3",NA,"1~1","3~1","2~1","4~2","3~0"
"Reims","0~1","0~2","1~2","1~1","0~2","0~2","1~1","3~1","0~0","4~2","1~2","2~4","1~1",NA,"2~1","0~2","0~1","1~0"
"Rennes","2~0","0~1","1~2","1~0","1~1","0~2","3~0","1~2","1~2","3~0","2~1","2~0","1~4","1~0",NA,"5~0","1~0","0~2"
"St Etienne","3~3","3~1","3~3","0~2","0~2","1~0","2~1","0~2","1~3","1~0","1~1","1~3","1~6","3~1","0~2",NA,"2~0","2~3"
"Strasbourg","1~1","3~1","0~0","2~3","2~2","2~1","4~2","1~0","1~3","2~0","3~1","2~2","2~1","0~0","3~1","3~1",NA,"2~1"
"Toulouse","1~1","2~0","2~4","2~0","1~1","1~2","1~2","1~3","1~1","1~2","0~0","1~1","0~1","1~0","2~1","2~1","1~2",NA
