"Home...Away","ARS","AST","BUR","CHE","CRY","EVE","HUL","LEI","LIV","MAN","MAN","NEW","QPR","SOU","STO","SUN","SWA","TOT","WES","WES"
"Arsenal",NA,"5~0","3~0","0~0","2~1","2~0","2~2","2~1","4~1","2~2","1~2","4~1","2~1","1~0","3~0","0~0","0~1","1~1","4~1","3~0"
"Aston Villa","0~3",NA,"0~1","1~2","0~0","3~2","2~1","2~1","0~2","0~2","1~1","0~0","3~3","1~1","1~2","0~0","0~1","1~2","2~1","1~0"
"Burnley","0~1","1~1",NA,"1~3","2~3","1~3","1~0","0~1","0~1","1~0","0~0","1~1","2~1","1~0","0~0","0~0","0~1","0~0","2~2","1~3"
"Chelsea","2~0","3~0","1~1",NA,"1~0","1~0","2~0","2~0","1~1","1~1","1~0","2~0","2~1","1~1","2~1","3~1","4~2","3~0","2~0","2~0"
"Crystal Palace","1~2","0~1","0~0","1~2",NA,"0~1","0~2","2~0","3~1","2~1","1~2","1~1","3~1","1~3","1~1","1~3","1~0","2~1","0~2","1~3"
"Everton","2~2","3~0","1~0","3~6","2~3",NA,"1~1","2~2","0~0","1~1","3~0","3~0","3~1","1~0","0~1","0~2","0~0","0~1","0~0","2~1"
"Hull","1~3","2~0","0~1","2~3","2~0","2~0",NA,"0~1","1~0","2~4","0~0","0~3","2~1","0~1","1~1","1~1","0~1","1~2","0~0","2~2"
"Leicester","1~1","1~0","2~2","1~3","0~1","2~2","0~0",NA,"1~3","0~1","5~3","3~0","5~1","2~0","0~1","0~0","2~0","1~2","0~1","2~1"
"Liverpool","2~2","0~1","2~0","1~2","1~3","1~1","0~0","2~2",NA,"2~1","1~2","2~0","2~1","2~1","1~0","0~0","4~1","3~2","2~1","2~0"
"Man City","0~2","3~2","2~2","1~1","3~0","1~0","1~1","2~0","3~1",NA,"1~0","5~0","6~0","2~0","0~1","3~2","2~1","4~1","3~0","2~0"
"Man United","1~1","3~1","3~1","1~1","1~0","2~1","3~0","3~1","3~0","4~2",NA,"3~1","4~0","0~1","2~1","2~0","1~2","3~0","0~1","2~1"
"Newcastle","1~2","1~0","3~3","2~1","3~3","3~2","2~2","1~0","1~0","0~2","0~1",NA,"1~0","1~2","1~1","0~1","2~3","1~3","1~1","2~0"
"QPR","1~2","2~0","2~0","0~1","0~0","1~2","0~1","3~2","2~3","2~2","0~2","2~1",NA,"0~1","2~2","1~0","1~1","1~2","3~2","0~0"
"Southampton","2~0","6~1","2~0","1~1","1~0","3~0","2~0","2~0","0~2","0~3","1~2","4~0","2~1",NA,"1~0","8~0","0~1","2~2","0~0","0~0"
"Stoke","3~2","0~1","1~2","0~2","1~2","2~0","1~0","0~1","6~1","1~4","1~1","1~0","3~1","2~1",NA,"1~1","2~1","3~0","2~0","2~2"
"Sunderland","0~2","0~4","2~0","0~0","1~4","1~1","1~3","0~0","0~1","1~4","1~1","1~0","0~2","2~1","3~1",NA,"0~0","2~2","0~0","1~1"
"Swansea","2~1","1~0","1~0","0~5","1~1","1~1","3~1","2~0","0~1","2~4","2~1","2~2","2~0","0~1","2~0","1~1",NA,"1~2","3~0","1~1"
"Tottenham","2~1","0~1","2~1","5~3","0~0","2~1","2~0","4~3","0~3","0~1","0~0","1~2","4~0","1~0","1~2","2~1","3~2",NA,"0~1","2~2"
"West Brom","0~1","1~0","4~0","3~0","2~2","0~2","1~0","2~3","0~0","1~3","2~2","0~2","1~4","1~0","1~0","2~2","2~0","0~3",NA,"1~2"
"West Ham","1~2","0~0","1~0","0~1","1~3","1~2","3~0","2~0","3~1","2~1","1~1","1~0","2~0","1~3","1~1","1~0","3~1","0~1","1~1",NA
