"Home...Away","ARS","AST","BOU","CHE","CRY","EVE","LEI","LIV","MAN","MAN","NEW","NOR","SOU","STO","SUN","SWA","TOT","WAT","WES","WES"
"Arsenal",NA,"4~0","2~0","0~1","1~1","2~1","2~1","0~0","2~1","3~0","1~0","1~0","0~0","2~0","3~1","1~2","1~1","4~0","2~0","0~2"
"Aston Villa","0~2",NA,"1~2","0~4","1~0","1~3","1~1","0~6","0~0","0~1","0~0","2~0","2~4","0~1","2~2","1~2","0~2","2~3","0~1","1~1"
"Bournemouth","0~2","0~1",NA,"1~4","0~0","3~3","1~1","1~2","0~4","2~1","0~1","3~0","2~0","1~3","2~0","3~2","1~5","1~1","1~1","1~3"
"Chelsea","2~0","2~0","0~1",NA,"1~2","3~3","1~1","1~3","0~3","1~1","5~1","1~0","1~3","1~1","3~1","2~2","2~2","2~2","2~2","2~2"
"Crystal Palace","1~2","2~1","1~2","0~3",NA,"0~0","0~1","1~2","0~1","0~0","5~1","1~0","1~0","2~1","0~1","0~0","1~3","1~2","2~0","1~3"
"Everton","0~2","4~0","2~1","3~1","1~1",NA,"2~3","1~1","0~2","0~3","3~0","3~0","1~1","3~4","6~2","1~2","1~1","2~2","0~1","2~3"
"Leicester","2~5","3~2","0~0","2~1","1~0","3~1",NA,"2~0","0~0","1~1","1~0","1~0","1~0","3~0","4~2","4~0","1~1","2~1","2~2","2~2"
"Liverpool","3~3","3~2","1~0","1~1","1~2","4~0","1~0",NA,"3~0","0~1","2~2","1~1","1~1","4~1","2~2","1~0","1~1","2~0","2~2","0~3"
"Man City","2~2","4~0","5~1","3~0","4~0","0~0","1~3","1~4",NA,"0~1","6~1","2~1","3~1","4~0","4~1","2~1","1~2","2~0","2~1","1~2"
"Man United","3~2","1~0","3~1","0~0","2~0","1~0","1~1","3~1","0~0",NA,"0~0","1~2","0~1","3~0","3~0","2~1","1~0","1~0","2~0","0~0"
"Newcastle","0~1","1~1","1~3","2~2","1~0","0~1","0~3","2~0","1~1","3~3",NA,"6~2","2~2","0~0","1~1","3~0","5~1","1~2","1~0","2~1"
"Norwich","1~1","2~0","3~1","1~2","1~3","1~1","1~2","4~5","0~0","0~1","3~2",NA,"1~0","1~1","0~3","1~0","0~3","4~2","0~1","2~2"
"Southampton","4~0","1~1","2~0","1~2","4~1","0~3","2~2","3~2","4~2","2~3","3~1","3~0",NA,"0~1","1~1","3~1","0~2","2~0","3~0","1~0"
"Stoke","0~0","2~1","2~1","1~0","1~2","0~3","2~2","0~1","2~0","2~0","1~0","3~1","1~2",NA,"1~1","2~2","0~4","0~2","0~1","2~1"
"Sunderland","0~0","3~1","1~1","3~2","2~2","3~0","0~2","0~1","0~1","2~1","3~0","1~3","0~1","2~0",NA,"1~1","0~1","0~1","0~0","2~2"
"Swansea","0~3","1~0","2~2","1~0","1~1","0~0","0~3","3~1","1~1","2~1","2~0","1~0","0~1","0~1","2~4",NA,"2~2","1~0","1~0","0~0"
"Tottenham","2~2","3~1","3~0","0~0","1~0","0~0","0~1","0~0","4~1","3~0","1~2","3~0","1~2","2~2","4~1","2~1",NA,"1~0","1~1","4~1"
"Watford","0~3","3~2","0~0","0~0","0~1","1~1","0~1","3~0","1~2","1~2","2~1","2~0","0~0","1~2","2~2","1~0","1~2",NA,"0~0","2~0"
"West Brom","2~1","0~0","1~2","2~3","3~2","2~3","2~3","1~1","0~3","1~0","1~0","0~1","0~0","2~1","1~0","1~1","1~1","0~1",NA,"0~3"
"West Ham","3~3","2~0","3~4","2~1","2~2","1~1","1~2","2~0","2~2","3~2","2~0","2~2","2~1","0~0","1~0","1~4","1~0","3~1","1~1",NA
