"Home...Away","ARS","AST","BOU","BRI","BUR","CHE","CRY","EVE","LEI","LIV","MAN","MAN","NEW","NOR","SHE","SOU","TOT","WAT","WES","WOL"
"Arsenal",NA,"3~2","1~0","1~2","2~1","1~2","2~2","3~2","1~1","2~1","0~3","2~0","4~0","4~0","1~1","2~2","2~2","3~2","1~0","1~1"
"Aston Villa","1~0",NA,"1~2","2~1","2~2","1~2","2~0","2~0","1~4","1~2","1~6","0~3","2~0","1~0","0~0","1~3","2~3","2~1","0~0","0~1"
"Bournemouth","1~1","2~1",NA,"3~1","0~1","2~2","0~2","3~1","4~1","0~3","1~3","1~0","1~4","0~0","1~1","0~2","0~0","0~3","2~2","1~2"
"Brighton","2~1","1~1","2~0",NA,"1~1","1~1","0~1","3~2","0~2","1~3","0~5","0~3","0~0","2~0","0~1","0~2","3~0","1~1","1~1","2~2"
"Burnley","0~0","1~2","3~0","1~2",NA,"2~4","0~2","1~0","2~1","0~3","1~4","0~2","1~0","2~0","1~1","3~0","1~1","1~0","3~0","1~1"
"Chelsea","2~2","2~1","0~1","2~0","3~0",NA,"2~0","4~0","1~1","1~2","2~1","0~2","1~0","1~0","2~2","0~2","2~1","3~0","0~1","2~0"
"Crystal Palace","1~1","1~0","1~0","1~1","0~1","2~3",NA,"0~0","0~2","1~2","0~2","0~2","1~0","2~0","0~1","0~2","1~1","1~0","2~1","1~1"
"Everton","0~0","1~1","1~3","1~0","1~0","3~1","3~1",NA,"2~1","0~0","1~3","1~1","2~2","0~2","0~2","1~1","1~1","1~0","2~0","3~2"
"Leicester","2~0","4~0","3~1","0~0","2~1","2~2","3~0","2~1",NA,"0~4","0~1","0~2","5~0","1~1","2~0","1~2","2~1","2~0","4~1","0~0"
"Liverpool","3~1","2~0","2~1","2~1","1~1","5~3","4~0","5~2","2~1",NA,"3~1","2~0","3~1","4~1","2~0","4~0","2~1","2~0","3~2","1~0"
"Man City","3~0","3~0","2~1","4~0","5~0","2~1","2~2","2~1","3~1","4~0",NA,"1~2","5~0","5~0","2~0","2~1","2~2","8~0","2~0","0~2"
"Man United","1~1","2~2","5~2","3~1","0~2","4~0","1~2","1~1","1~0","1~1","2~0",NA,"4~1","4~0","3~0","2~2","2~1","3~0","1~1","0~0"
"Newcastle","0~1","1~1","2~1","0~0","0~0","1~0","1~0","1~2","0~3","1~3","2~2","1~0",NA,"0~0","3~0","2~1","1~3","1~1","2~2","1~1"
"Norwich","2~2","1~5","1~0","0~1","0~2","2~3","1~1","0~1","1~0","0~1","3~2","1~3","3~1",NA,"1~2","0~3","2~2","0~2","0~4","1~2"
"Sheffield United","1~0","2~0","2~1","1~1","3~0","3~0","1~0","0~1","1~2","0~1","0~1","3~3","0~2","1~0",NA,"0~1","3~1","1~1","1~0","1~0"
"Southampton","0~2","2~0","1~3","1~1","1~2","1~4","1~1","1~2","0~9","1~2","1~0","1~1","0~1","2~1","3~1",NA,"1~0","2~1","0~1","2~3"
"Tottenham","2~1","3~1","3~2","2~1","5~0","0~2","4~0","1~0","3~0","0~1","2~0","1~1","0~1","2~1","1~1","2~1",NA,"1~1","2~0","2~3"
"Watford","2~2","3~0","0~0","0~3","0~3","1~2","0~0","2~3","1~1","3~0","0~4","2~0","2~1","2~1","0~0","1~3","0~0",NA,"1~3","2~1"
"West Ham","1~3","1~1","4~0","3~3","0~1","3~2","1~2","1~1","1~2","0~2","0~5","2~0","2~3","2~0","1~1","3~1","2~3","3~1",NA,"0~2"
"Wolves","0~2","2~1","1~0","0~0","1~1","2~5","2~0","3~0","0~0","1~2","3~2","1~1","1~1","3~0","1~1","1~1","1~2","2~0","2~0",NA
