"Home...Away","ARS","AST","BRE","BRI","BUR","CHE","CRY","EVE","LEE","LEI","LIV","MAN","MAN","NEW","NOR","SOU","TOT","WAT","WES","WOL"
"Arsenal",NA,"3~1","2~1","1~2","0~0","0~2","2~2","5~1","2~1","2~0","0~2","1~2","3~1","2~0","1~0","3~0","3~1","1~0","2~0","2~1"
"Aston Villa","0~1",NA,"1~1","2~0","1~1","1~3","1~1","3~0","3~3","2~1","1~2","1~2","2~2","2~0","2~0","4~0","0~4","0~1","1~4","2~3"
"Brentford","2~0","2~1",NA,"0~1","2~0","0~1","0~0","1~0","1~2","1~2","3~3","0~1","1~3","0~2","1~2","3~0","0~0","2~1","2~0","1~2"
"Brighton","0~0","0~2","2~0",NA,"0~3","1~1","1~1","0~2","0~0","2~1","0~2","1~4","4~0","1~1","0~0","2~2","0~2","2~0","3~1","0~1"
"Burnley","0~1","1~3","3~1","1~2",NA,"0~4","3~3","3~2","1~1","0~2","0~1","0~2","1~1","1~2","0~0","2~0","1~0","0~0","0~0","1~0"
"Chelsea","2~4","3~0","1~4","1~1","1~1",NA,"3~0","1~1","3~2","1~1","2~2","0~1","1~1","1~0","7~0","3~1","2~0","2~1","1~0","2~2"
"Crystal Palace","3~0","1~2","0~0","1~1","1~1","0~1",NA,"3~1","0~0","2~2","1~3","0~0","1~0","1~1","3~0","2~2","3~0","1~0","2~3","2~0"
"Everton","2~1","0~1","2~3","2~3","3~1","1~0","3~2",NA,"3~0","1~1","1~4","0~1","1~0","1~0","2~0","3~1","0~0","2~5","0~1","0~1"
"Leeds","1~4","0~3","2~2","1~1","3~1","0~3","1~0","2~2",NA,"1~1","0~3","0~4","2~4","0~1","2~1","1~1","0~4","1~0","1~2","1~1"
"Leicester","0~2","0~0","2~1","1~1","2~2","0~3","2~1","1~2","1~0",NA,"1~0","0~1","4~2","4~0","3~0","4~1","2~3","4~2","2~2","1~0"
"Liverpool","4~0","1~0","3~0","2~2","2~0","1~1","3~0","2~0","6~0","2~0",NA,"2~2","4~0","3~1","3~1","4~0","1~1","2~0","1~0","3~1"
"Man City","5~0","3~2","2~0","3~0","2~0","1~0","0~2","3~0","7~0","6~3","2~2",NA,"4~1","5~0","5~0","0~0","2~3","5~1","2~1","1~0"
"Man United","3~2","0~1","3~0","2~0","3~1","1~1","1~0","1~1","5~1","1~1","0~5","0~2",NA,"4~1","3~2","1~1","3~2","0~0","1~0","0~1"
"Newcastle","2~0","1~0","3~3","2~1","1~0","0~3","1~0","3~1","1~1","2~1","0~1","0~4","1~1",NA,"1~1","2~2","2~3","1~1","2~4","1~0"
"Norwich","0~5","0~2","1~3","0~0","2~0","1~3","1~1","2~1","1~2","1~2","0~3","0~4","0~1","0~3",NA,"2~1","0~5","1~3","0~4","0~0"
"Southampton","1~0","1~0","4~1","1~1","2~2","0~6","1~2","2~0","1~0","2~2","1~2","1~1","1~1","1~2","2~0",NA,"1~1","1~2","0~0","0~1"
"Tottenham","3~0","2~1","2~0","0~1","1~0","0~3","3~0","5~0","2~1","3~1","2~2","1~0","0~3","5~1","3~0","2~3",NA,"1~0","3~1","0~2"
"Watford","2~3","3~2","1~2","0~2","1~2","1~2","1~4","0~0","0~3","1~5","0~5","1~3","4~1","1~1","0~3","0~1","0~1",NA,"1~4","0~2"
"West Ham","1~2","2~1","1~2","1~1","1~1","3~2","2~2","2~1","2~3","4~1","3~2","2~2","1~2","1~1","2~0","2~3","1~0","1~0",NA,"1~0"
"Wolves","0~1","2~1","0~2","0~3","0~0","0~0","0~2","2~1","2~3","2~1","0~1","1~5","0~1","2~1","1~1","3~1","0~1","4~0","1~0",NA
