"Home...Away","ARS","AST","BOU","BRE","BRI","CHE","CRY","EVE","FUL","LEE","LEI","LIV","MAN","MAN","NEW","NOT","SOU","TOT","WES","WOL"
"Arsenal",NA,"2~1","3~2","1~1","0~3","3~1","4~1","4~0","2~1","4~1","4~2","3~2","1~3","3~2","0~0","5~0","3~3","3~1","3~1","5~0"
"Aston Villa","2~4",NA,"3~0","4~0","2~1","0~2","1~0","2~1","1~0","2~1","2~4","1~3","1~1","3~1","3~0","2~0","1~0","2~1","0~1","1~1"
"Bournemouth","0~3","2~0",NA,"0~0","0~2","1~3","0~2","3~0","2~1","4~1","2~1","1~0","1~4","0~1","1~1","1~1","0~1","2~3","0~4","0~0"
"Brentford","0~3","1~1","2~0",NA,"2~0","0~0","1~1","1~1","3~2","5~2","1~1","3~1","1~0","4~0","1~2","2~1","3~0","2~2","2~0","1~1"
"Brighton","2~4","1~2","1~0","3~3",NA,"4~1","1~0","1~5","0~1","1~0","5~2","3~0","1~1","1~0","0~0","0~0","3~1","0~1","4~0","6~0"
"Chelsea","0~1","0~2","2~0","0~2","1~2",NA,"1~0","2~2","0~0","1~0","2~1","0~0","0~1","1~1","1~1","2~2","0~1","2~2","2~1","3~0"
"Crystal Palace","0~2","3~1","2~0","1~1","1~1","1~2",NA,"0~0","0~3","2~1","2~1","0~0","0~1","1~1","0~0","1~1","1~0","0~4","4~3","2~1"
"Everton","1~0","0~2","1~0","1~0","1~4","0~1","3~0",NA,"1~3","1~0","0~2","0~0","0~3","1~2","1~4","1~1","1~2","1~1","1~0","1~2"
"Fulham","0~3","3~0","2~2","3~2","2~1","2~1","2~2","0~0",NA,"2~1","5~3","2~2","1~2","1~2","1~4","2~0","2~1","0~1","0~1","1~1"
"Leeds","0~1","0~0","4~3","0~0","2~2","3~0","1~5","1~1","2~3",NA,"1~1","1~6","1~3","0~2","2~2","2~1","1~0","1~4","2~2","2~1"
"Leicester","0~1","1~2","0~1","2~2","2~2","1~3","0~0","2~2","0~1","2~0",NA,"0~3","0~1","0~1","0~3","4~0","1~2","4~1","2~1","2~1"
"Liverpool","2~2","1~1","9~0","1~0","3~3","0~0","1~1","2~0","1~0","1~2","2~1",NA,"1~0","7~0","2~1","3~2","3~1","4~3","1~0","2~0"
"Man City","4~1","3~1","4~0","1~2","3~1","1~0","4~2","1~1","2~1","2~1","3~1","4~1",NA,"6~3","2~0","6~0","4~0","4~2","3~0","3~0"
"Man United","3~1","1~0","3~0","1~0","1~2","4~1","2~1","2~0","2~1","2~2","3~0","2~1","2~1",NA,"0~0","3~0","0~0","2~0","1~0","2~0"
"Newcastle","0~2","4~0","1~1","5~1","4~1","1~0","0~0","1~0","1~0","0~0","0~0","0~2","3~3","2~0",NA,"2~0","3~1","6~1","1~1","2~1"
"Nott'm Forest","1~0","1~1","2~3","2~2","3~1","1~1","1~0","2~2","2~3","1~0","2~0","1~0","1~1","0~2","1~2",NA,"4~3","0~2","1~0","1~1"
"Southampton","1~1","0~1","0~1","0~2","1~3","2~1","0~2","1~2","0~2","2~2","1~0","4~4","1~4","0~1","1~4","0~1",NA,"3~3","1~1","1~2"
"Tottenham","0~2","0~2","2~3","1~3","2~1","2~0","1~0","2~0","2~1","4~3","6~2","1~2","1~0","2~2","1~2","3~1","4~1",NA,"2~0","1~0"
"West Ham","2~2","1~1","2~0","0~2","0~2","1~1","1~2","2~0","3~1","3~1","0~2","1~2","0~2","1~0","1~5","4~0","1~0","1~1",NA,"2~0"
"Wolves","0~2","1~0","0~1","2~0","2~3","1~0","2~0","1~1","0~0","2~4","0~4","3~0","0~3","0~1","1~1","1~0","1~0","1~0","1~0",NA
