"Home...Away","ARS","AST","BOU","BRE","BRI","CHE","CRY","EVE","FUL","IPS","LEI","LIV","MAN","MAN","NEW","NOT","SOU","TOT","WES","WOL"
"Arsenal",NA,"2~2","1~2","1~1","1~1","1~0","2~2","0~0","2~1","1~0","4~2","2~2","5~1","2~0","1~0","3~0","3~1","2~1","0~1","2~0"
"Aston Villa","0~2",NA,"1~1","3~1","2~2","2~1","2~2","3~2","1~0","1~1","2~1","2~2","2~1","0~0","4~1","2~1","1~0","2~0","1~1","3~1"
"Bournemouth","2~0","0~1",NA,"1~2","1~2","0~1","0~0","1~0","1~0","1~2","2~0","0~2","2~1","1~1","1~1","5~0","3~1","1~0","1~1","0~1"
"Brentford","1~3","0~1","3~2",NA,"4~2","0~0","2~1","1~1","2~3","4~3","4~1","0~2","2~2","4~3","4~2","0~2","3~1","0~2","1~1","5~3"
"Brighton","1~1","0~3","2~1","0~0",NA,"3~0","1~3","0~1","2~1","0~0","2~2","3~2","2~1","2~1","1~1","2~2","1~1","3~2","3~2","2~2"
"Chelsea","1~1","3~0","2~2","2~1","4~2",NA,"1~1","1~0","1~2","2~2","1~0","3~1","0~2","1~0","2~1","1~1","4~0","1~0","2~1","3~1"
"Crystal Palace","1~5","4~1","0~0","1~2","2~1","1~1",NA,"1~2","0~2","1~0","2~2","0~1","2~2","0~0","1~1","1~1","2~1","1~0","0~2","4~2"
"Everton","1~1","0~1","2~3","0~0","0~3","0~0","2~1",NA,"1~1","2~2","4~0","2~2","0~2","2~2","0~0","0~2","2~0","3~2","1~1","4~0"
"Fulham","1~1","1~3","2~2","2~1","3~1","1~2","0~2","1~3",NA,"2~2","2~1","3~2","0~2","0~1","3~1","2~1","0~0","2~0","1~1","1~4"
"Ipswich","0~4","2~2","1~2","0~1","0~2","2~0","0~1","0~2","1~1",NA,"1~1","0~2","0~6","1~1","0~4","2~4","1~2","1~4","1~3","1~2"
"Leicester","0~2","1~2","1~0","0~4","2~2","1~2","0~2","1~1","0~2","2~0",NA,"0~1","0~2","0~3","0~3","1~3","2~0","1~1","3~1","0~3"
"Liverpool","2~2","2~0","3~0","2~0","2~1","2~1","1~1","1~0","2~2","4~1","3~1",NA,"2~0","2~2","2~0","0~1","3~1","5~1","2~1","2~1"
"Man City","2~2","2~1","3~1","2~1","2~2","3~1","5~2","1~1","3~2","4~1","2~0","0~2",NA,"1~2","4~0","3~0","1~0","0~4","4~1","1~0"
"Man United","1~1","2~0","0~3","2~1","1~3","1~1","0~2","4~0","1~0","3~2","3~0","0~3","0~0",NA,"0~2","2~3","3~1","0~3","0~2","0~1"
"Newcastle","1~0","3~0","1~4","2~1","0~1","2~0","5~0","0~1","1~2","3~0","4~0","3~3","1~1","4~1",NA,"4~3","1~0","2~1","0~2","3~0"
"Nott'm Forest","0~0","2~1","1~1","0~2","7~0","0~1","1~0","0~1","0~1","1~0","2~2","1~1","1~0","1~0","1~3",NA,"3~2","1~0","3~0","1~1"
"Southampton","1~2","0~3","1~3","0~5","0~4","1~5","1~1","1~0","1~2","1~1","2~3","2~3","0~0","0~3","1~3","0~1",NA,"0~5","0~1","1~2"
"Tottenham","0~1","4~1","2~2","3~1","1~4","3~4","0~2","4~0","1~1","1~2","1~2","3~6","0~1","1~0","1~2","1~2","3~1",NA,"4~1","2~2"
"West Ham","2~5","1~2","2~2","0~1","1~1","0~3","0~2","0~0","3~2","4~1","2~0","0~5","1~3","2~1","0~1","1~2","1~1","1~1",NA,"2~1"
"Wolves","0~1","2~0","2~4","1~1","0~2","2~6","2~2","1~1","1~2","1~2","3~0","1~2","1~2","2~0","1~2","0~3","2~0","4~2","1~0",NA
