"Home...Away","ATA","BOL","CAG","COM","EMP","FIO","GEN","INT","JUV","LAZ","LEC","MIL","MON","NAP","PAR","ROM","TOR","UDI","VEN","VER"
"Atalanta",NA,"2~0","0~0","2~3","3~2","3~2","5~1","0~2","1~1","0~1","1~1","2~1","2~0","2~3","2~3","2~1","1~1","2~1","0~0","6~1"
"Bologna","1~1",NA,"2~1","2~0","1~1","1~0","1~3","1~0","1~1","5~0","1~0","2~1","3~1","1~1","0~0","2~2","3~2","1~1","3~0","2~3"
"Cagliari","0~1","0~2",NA,"1~1","0~2","1~2","1~1","0~3","0~1","1~2","4~1","3~3","3~0","0~4","2~1","0~0","3~2","1~2","3~0","1~0"
"Como","1~2","2~2","3~1",NA,"1~1","0~2","1~0","0~2","1~2","1~5","2~0","1~2","1~1","2~1","1~1","2~0","1~0","4~1","1~1","3~2"
"Empoli","0~5","1~1","0~0","1~0",NA,"0~0","1~2","0~3","0~0","0~1","1~3","0~2","0~0","0~1","2~1","0~1","0~1","1~1","2~2","1~2"
"Fiorentina","1~0","3~2","1~0","0~2","2~1",NA,"2~1","3~0","3~0","2~1","1~0","2~1","2~2","0~3","0~0","5~1","1~1","1~2","0~0","3~1"
"Genoa","2~3","2~2","2~2","1~1","1~1","0~1",NA,"2~2","0~3","0~2","2~1","1~2","2~0","1~2","1~0","1~1","0~0","1~0","2~0","0~2"
"Inter","4~0","2~2","3~1","2~0","3~1","2~1","1~0",NA,"4~4","2~2","2~0","1~2","3~2","1~1","3~1","0~1","3~2","2~1","1~0","1~0"
"Juventus","0~4","2~2","1~1","3~0","4~1","2~2","1~0","1~0",NA,"1~0","2~1","2~0","2~0","0~0","2~2","0~0","2~0","2~0","2~2","2~0"
"Lazio","1~1","3~0","2~1","1~1","2~1","1~2","3~0","0~6","1~1",NA,"0~1","2~2","5~1","2~2","2~2","1~1","1~1","1~1","3~1","2~1"
"Lecce","0~4","0~0","1~0","0~3","1~1","0~6","0~0","0~4","1~1","1~2",NA,"2~3","2~1","0~1","2~2","0~1","1~0","0~1","1~1","1~0"
"Milan","0~1","3~1","1~1","2~1","3~0","2~2","0~0","1~1","0~0","1~2","3~0",NA,"2~0","0~2","3~2","1~1","2~2","1~0","4~0","1~0"
"Monza","0~4","1~2","1~2","1~3","1~3","2~1","0~1","1~1","1~2","0~1","0~0","0~1",NA,"0~1","1~1","1~1","0~2","1~2","2~2","0~1"
"Napoli","0~3","3~0","2~0","3~1","3~0","2~1","2~2","1~1","2~1","0~1","1~0","2~1","2~0",NA,"2~1","1~0","2~0","1~1","1~0","2~0"
"Parma","1~3","2~0","2~3","0~1","1~1","1~1","0~1","2~2","1~0","3~1","1~3","2~1","2~1","0~0",NA,"0~1","2~2","2~3","1~1","2~3"
"Roma","0~2","2~3","1~0","2~1","1~2","1~0","3~1","0~1","1~1","2~0","4~1","3~1","4~0","1~1","5~0",NA,"1~0","3~0","2~1","1~0"
"Torino","2~1","0~2","2~0","1~0","1~0","0~1","1~1","0~2","1~1","2~3","0~0","2~1","1~1","0~1","0~0","0~2",NA,"2~0","1~1","1~1"
"Udinese","0~0","0~0","2~0","1~0","3~0","2~3","0~2","2~3","0~2","2~1","1~0","0~4","1~2","1~3","1~0","1~2","2~2",NA,"3~2","0~1"
"Venezia","0~2","0~1","2~1","2~2","1~1","2~1","2~0","0~1","2~3","0~0","0~1","0~2","1~0","0~0","1~2","0~1","0~1","3~2",NA,"1~1"
"Verona","0~5","1~2","0~2","1~1","1~4","1~0","0~0","0~5","0~3","0~3","1~1","0~1","0~3","3~0","0~0","3~2","2~3","0~0","2~1",NA
