"","ARS","AST","BIR","BRG","BRS","CHE","EVE","MAC","MAU","REA","TOT","WES"
"Arsenal Women",NA,"0~0","3~0","2~0","3~1","1~1","4~0","1~2","2~0","6~1","6~1","2~0"
"Aston Villa Women","0~4",NA,"0~1","0~2","2~2","0~4","0~6","0~2","0~2","2~2","1~0","0~0"
"Birmingham City Women","0~4","1~1",NA,"0~0","1~1","0~1","0~4","0~4","2~5","1~1","0~1","1~2"
"Brighton and Hove Albion Women","0~5","0~2","2~0",NA,"3~1","0~1","0~5","1~7","1~0","1~3","2~0","1~0"
"Bristol City Women","0~4","0~4","0~4","3~0",NA,"0~5","0~4","0~3","0~1","3~2","2~2","0~4"
"Chelsea Women","3~0","2~0","6~0","1~2","9~0",NA,"4~0","3~1","2~1","5~0","4~0","3~2"
"Everton Women","1~2","3~1","1~1","2~2","4~0","0~3",NA,"0~3","0~2","1~1","1~0","3~1"
"Manchester City Women","2~1","7~0","4~0","0~0","8~1","2~2","1~0",NA,"3~0","1~0","4~1","4~0"
"Manchester United Women","1~0","3~0","2~0","3~0","6~1","1~1","2~0","2~2",NA,"0~2","4~1","2~0"
"Reading Women","1~1","3~1","0~1","3~2","1~1","0~5","1~1","1~1","1~2",NA,"0~0","0~5"
"Tottenham Hotspur Women","0~3","3~1","0~0","3~1","1~1","0~2","2~3","0~3","0~1","1~1",NA,"1~1"
"West Ham United Women","1~9","0~0","2~2","0~1","1~1","0~2","0~0","0~1","2~4","0~1","0~1",NA
