"","ARS","AST","BIR","BRI","CHE","EVE","LEI","MAC","MAU","REA","TOT","WES"
"Arsenal Women",NA,"7~0","4~2","2~1","3~2","3~0","4~0","5~0","1~1","4~0","3~0","4~0"
"Aston Villa Women","0~4",NA,"0~1","0~1","0~1","0~1","2~1","0~3","0~0","1~1","1~2","1~2"
"Birmingham City Women","2~0","0~1",NA,"0~5","0~1","0~0","1~2","2~3","0~2","0~3","0~2","0~1"
"Brighton and Hove Albion Women","0~3","0~1","1~3",NA,"0~0","1~1","1~0","0~6","0~2","4~1","2~1","2~0"
"Chelsea Women","0~0","1~0","5~0","3~1",NA,"4~0","2~0","1~0","4~2","5~0","2~1","2~0"
"Everton Women","0~3","0~2","3~1","0~1","0~3",NA,"3~2","0~4","1~1","1~2","2~2","1~1"
"Leicester City Women","0~5","1~2","2~0","1~0","0~9","0~1",NA,"1~4","1~3","0~0","0~2","3~0"
"Manchester City Women","1~1","5~0","6~0","7~2","0~4","4~0","4~0",NA,"1~0","2~0","1~2","0~2"
"Manchester United Women","0~2","5~0","5~0","1~0","1~6","3~1","4~0","2~2",NA,"2~0","3~0","3~0"
"Reading Women","0~4","3~0","3~2","2~0","1~0","0~3","1~0","0~4","1~3",NA,"0~0","1~2"
"Tottenham Hotspur Women","1~1","0~1","1~0","4~0","1~3","1~0","1~0","0~1","1~1","1~0",NA,"1~1"
"West Ham United Women","0~2","1~1","1~1","0~2","1~4","3~0","4~0","0~2","1~1","2~2","1~0",NA
