"","ARS","AST","BRI","CHE","EVE","LEI","LIV","MAC","MAU","REA","TOT","WES"
"Arsenal Women",NA,"0~2","4~0","1~1","1~0","1~0","2~0","2~1","2~3","4~0","4~0","3~1"
"Aston Villa Women","1~4",NA,"1~1","0~3","0~1","5~0","3~3","4~3","2~3","3~1","2~1","1~2"
"Brighton and Hove Albion Women","0~4","2~6",NA,"0~2","3~2","0~1","3~3","1~2","0~4","2~1","0~8","1~0"
"Chelsea Women","2~0","3~1","3~1",NA,"7~0","6~0","2~1","2~0","1~0","3~2","3~0","3~1"
"Everton Women","1~4","0~2","2~1","1~3",NA,"1~0","1~1","1~2","0~3","3~2","2~1","3~0"
"Leicester City Women","0~4","0~2","3~0","0~8","0~0",NA,"4~0","0~2","0~1","2~1","1~2","1~2"
"Liverpool Women","0~2","0~1","2~1","2~1","0~3","0~1",NA,"2~1","0~1","2~0","2~1","2~0"
"Manchester City Women","2~1","1~1","3~1","2~0","3~2","4~0","2~1",NA,"1~1","4~1","3~1","6~2"
"Manchester United Women","1~0","5~0","4~0","1~3","0~0","5~1","6~0","2~1",NA,"4~0","3~0","4~0"
"Reading Women","0~1","0~5","2~2","0~3","2~3","2~1","3~3","0~3","0~1",NA,"1~0","2~1"
"Tottenham Hotspur Women","1~5","3~3","2~2","2~3","0~3","1~0","1~0","0~3","1~2","4~1",NA,"0~2"
"West Ham United Women","0~0","1~2","4~5","0~4","1~0","1~0","0~0","0~1","0~2","3~2","2~2",NA
