"","ARS","AST","BRG","BRS","CHE","EVE","LEI","LIV","MAC","MAU","TOT","WES"
"Arsenal Women",NA,"2~1","5~0","5~0","4~1","2~1","3~0","0~1","2~1","3~1","1~0","3~0"
"Aston Villa Women","1~3",NA,"1~0","2~2","0~6","1~2","2~2","1~4","1~2","1~2","2~4","1~1"
"Brighton and Hove Albion Women","0~3","0~1",NA,"3~2","0~3","1~2","2~2","0~1","1~4","2~2","1~3","0~2"
"Bristol City Women","1~2","0~2","3~7",NA,"0~3","0~4","2~4","0~1","0~4","0~2","0~1","1~2"
"Chelsea Women","3~1","3~0","4~2","8~0",NA,"3~0","5~2","5~1","0~1","3~1","2~1","2~0"
"Everton Women","1~1","1~2","1~2","2~2","0~3",NA,"0~1","0~0","1~4","0~5","2~2","2~0"
"Leicester City Women","2~6","0~1","2~3","5~2","0~4","1~0",NA,"0~4","0~1","0~1","1~1","1~1"
"Liverpool Women","0~2","2~0","4~0","1~1","4~3","0~1","2~1",NA,"1~4","1~0","1~1","3~1"
"Manchester City Women","1~2","2~1","0~1","5~0","1~1","2~1","2~0","5~1",NA,"3~1","7~0","5~0"
"Manchester United Women","2~2","2~1","2~0","2~0","0~6","4~1","1~1","1~2","1~3",NA,"2~2","5~0"
"Tottenham Hotspur Women","1~0","1~2","1~1","3~1","0~1","1~1","1~0","1~1","0~2","0~4",NA,"3~1"
"West Ham United Women","2~1","2~3","0~0","2~3","0~2","0~1","1~1","1~1","0~2","1~1","3~4",NA
