"","ARS","AST","BRI","CHE","CRY","EVE","LEI","LIV","MAC","MAU","TOT","WES"
"Arsenal Women",NA,"4~0","5~0","1~2","5~0","0~0","5~1","4~0","2~2","4~3","5~0","4~3"
"Aston Villa Women","5~2",NA,"3~1","0~1","3~2","0~2","0~0","1~2","2~4","0~4","2~2","3~1"
"Brighton and Hove Albion Women","4~2","4~2",NA,"2~2","1~1","4~0","1~0","1~2","1~2","1~1","1~1","3~2"
"Chelsea Women","1~0","1~0","4~2",NA,"4~0","2~1","3~1","1~0","2~0","1~0","5~2","2~2"
"Crystal Palace Women","0~4","3~1","0~1","0~7",NA,"1~1","2~2","0~1","0~3","0~1","2~3","1~7"
"Everton Women","1~3","1~1","2~3","0~5","3~0",NA,"4~1","1~0","2~1","0~1","1~1","1~1"
"Leicester City Women","0~1","3~0","3~2","1~1","0~2","1~0",NA,"2~1","0~1","0~2","1~1","4~2"
"Liverpool Women","0~1","1~2","2~1","0~3","1~1","0~2","1~1",NA,"1~2","3~1","2~2","1~0"
"Manchester City Women","3~4","2~1","1~0","1~2","5~2","1~1","4~0","4~0",NA,"2~4","4~0","2~0"
"Manchester United Women","1~1","0~0","3~0","0~1","3~1","2~0","2~0","4~0","2~2",NA,"3~0","3~0"
"Tottenham Hotspur Women","0~3","2~3","0~1","0~1","4~0","2~1","1~0","2~3","1~2","0~1",NA,"2~1"
"West Ham United Women","0~2","2~3","3~1","0~5","5~2","2~0","1~0","1~1","1~1","0~0","2~0",NA
