"Home...Away","AUG","BAY","DOR","EIN","FC ","FRE","HAM","HAN","HER","HOF","LEV","M'G","MAI","PAD","SCH","STU","WER","WOL"
"Augsburg",NA,"0~4","2~3","2~2","0~0","2~0","3~1","1~2","1~0","3~1","2~2","2~1","0~2","3~0","0~0","2~1","4~2","1~0"
"Bayern Munich","0~1",NA,"2~1","3~0","4~1","2~0","8~0","4~0","1~0","4~0","1~0","0~2","2~0","4~0","1~1","2~0","6~0","2~1"
"Dortmund","0~1","0~1",NA,"2~0","0~0","3~1","0~1","0~1","2~0","1~0","0~2","1~0","4~2","3~0","3~0","2~2","3~2","2~2"
"Ein Frankfurt","0~1","0~4","2~0",NA,"3~2","1~0","2~1","2~2","4~4","3~1","2~1","0~0","2~2","4~0","1~0","4~5","5~2","1~1"
"FC Koln","1~2","0~2","2~1","4~2",NA,"0~1","0~0","1~1","1~2","3~2","1~1","0~0","0~0","0~0","2~0","0~0","1~1","2~2"
"Freiburg","2~0","2~1","0~3","4~1","1~0",NA,"0~0","2~2","2~2","1~1","0~0","0~0","2~3","1~2","2~0","1~4","0~1","1~2"
"Hamburg","3~2","0~0","0~0","1~2","0~2","1~1",NA,"2~1","0~1","1~1","1~0","1~1","2~1","0~3","2~0","0~1","2~0","0~2"
"Hannover","2~0","1~3","2~3","1~0","1~0","2~1","2~0",NA,"1~1","1~2","1~3","0~3","1~1","1~2","2~1","1~1","1~1","1~3"
"Hertha","1~0","0~1","1~0","0~0","0~0","0~2","3~0","0~2",NA,"0~5","0~1","1~2","1~3","2~0","2~2","3~2","2~2","1~0"
"Hoffenheim","2~0","0~2","1~1","3~2","3~4","3~3","3~0","4~3","2~1",NA,"0~1","1~4","2~0","1~0","2~1","2~1","1~2","1~1"
"Leverkusen","1~0","2~0","0~0","1~1","5~1","1~0","4~0","4~0","4~2","2~0",NA,"1~1","0~0","2~2","1~0","4~0","3~3","4~5"
"M'gladbach","1~3","0~0","3~1","1~3","1~0","1~0","1~0","2~0","3~2","3~1","3~0",NA,"1~1","2~0","4~1","1~1","4~1","1~0"
"Mainz","2~1","1~2","2~0","3~1","2~0","2~2","1~2","0~0","0~2","0~0","2~3","2~2",NA,"5~0","2~0","1~1","1~2","1~1"
"Paderborn","2~1","0~6","2~2","3~1","0~0","1~1","0~3","2~0","3~1","0~0","0~3","1~2","2~2",NA,"1~2","1~2","2~2","1~3"
"Schalke 04","1~0","1~1","2~1","2~2","1~2","0~0","0~0","1~0","2~0","3~1","0~1","1~0","4~1","1~0",NA,"3~2","1~1","3~2"
"Stuttgart","0~1","0~2","2~3","3~1","0~2","2~2","2~1","1~0","0~0","0~2","3~3","0~1","2~0","0~0","0~4",NA,"3~2","0~4"
"Werder Bremen","3~2","0~4","2~1","1~0","0~1","1~1","1~0","3~3","2~0","1~1","2~1","0~2","0~0","4~0","0~3","2~0",NA,"3~5"
"Wolfsburg","1~0","4~1","2~1","2~2","2~1","3~0","2~0","2~2","2~1","3~0","4~1","1~0","3~0","1~1","1~1","3~1","2~1",NA
