"Home...Away","AUG","BAY","DAR","DOR","EIN","FC ","HAM","HAN","HER","HOF","ING","LEV","M'G","MAI","SCH","STU","WER","WOL"
"Augsburg",NA,"1~3","0~2","1~3","0~0","0~0","1~3","2~0","0~1","1~3","0~1","3~3","2~2","3~3","2~1","1~0","1~2","0~0"
"Bayern Munich","2~1",NA,"3~1","5~1","1~0","4~0","5~0","3~1","2~0","2~0","2~0","3~0","1~1","1~2","3~0","4~0","5~0","5~1"
"Darmstadt","2~2","0~3",NA,"0~2","1~2","0~0","1~1","2~2","0~4","0~0","2~0","1~2","0~2","2~3","0~2","2~2","2~1","0~1"
"Dortmund","5~1","0~0","2~2",NA,"4~1","2~2","3~0","1~0","3~1","3~1","2~0","3~0","4~0","2~0","3~2","4~1","3~2","5~1"
"Ein Frankfurt","1~1","0~0","0~1","1~0",NA,"6~2","0~0","1~0","1~1","0~2","1~1","1~3","1~5","2~1","0~0","2~4","2~1","3~2"
"FC Koln","0~1","0~1","4~1","2~1","3~1",NA,"2~1","0~1","0~1","0~0","1~1","0~2","1~0","0~0","1~3","1~3","0~0","1~1"
"Hamburg","0~1","1~2","1~2","3~1","0~0","1~1",NA,"1~2","2~0","1~3","1~1","0~0","3~2","1~3","0~1","3~2","2~1","0~1"
"Hannover","0~1","0~1","1~2","2~4","1~2","0~2","0~3",NA,"1~3","1~0","4~0","0~1","2~0","0~1","1~3","1~3","1~0","0~4"
"Hertha","0~0","0~2","1~2","0~0","2~0","2~0","3~0","2~2",NA,"1~0","2~1","2~1","1~4","2~0","2~0","2~1","1~1","1~1"
"Hoffenheim","2~1","1~2","0~2","1~1","0~0","1~1","0~1","1~0","2~1",NA,"2~1","1~1","3~3","3~2","1~4","2~2","1~3","1~0"
"Ingolstadt","2~1","1~2","3~1","0~4","2~0","1~1","0~1","2~2","0~1","1~1",NA,"0~1","1~0","1~0","3~0","3~3","2~0","0~0"
"Leverkusen","1~1","0~0","0~1","0~1","3~0","1~2","1~0","3~0","2~1","2~1","3~2",NA,"5~0","1~0","1~1","4~3","1~4","3~0"
"M'gladbach","4~2","3~1","3~2","1~3","3~0","1~0","0~3","2~1","5~0","3~1","0~0","2~1",NA,"1~2","3~1","4~0","5~1","2~0"
"Mainz","4~2","0~3","0~0","0~2","2~1","2~3","0~0","3~0","0~0","3~1","0~1","3~1","1~0",NA,"2~1","0~0","1~3","2~0"
"Schalke 04","1~1","1~3","1~1","2~2","2~0","0~3","3~2","3~1","2~1","1~0","1~1","2~3","2~1","2~1",NA,"1~1","1~3","3~0"
"Stuttgart","0~4","1~3","2~0","0~3","1~4","1~3","2~1","1~2","2~0","5~1","1~0","0~2","1~3","1~3","0~1",NA,"1~1","3~1"
"Werder Bremen","1~2","0~1","2~2","1~3","1~0","1~1","1~3","4~1","3~3","1~1","0~1","0~3","2~1","1~1","0~3","6~2",NA,"3~2"
"Wolfsburg","0~2","0~2","1~1","1~2","2~1","1~1","1~1","1~1","2~0","4~2","2~0","2~1","2~1","1~1","3~0","3~1","6~0",NA
