"Home...Away","AUG","BAY","DAR","DOR","EIN","FC ","FRE","HAM","HER","HOF","ING","LEV","M'G","MAI","RB ","SCH","WER","WOL"
"Augsburg",NA,"1~3","1~0","1~1","1~1","2~1","1~1","4~0","0~0","0~2","2~3","1~3","1~0","1~3","2~2","1~1","3~2","0~2"
"Bayern Munich","6~0",NA,"1~0","4~1","3~0","1~1","4~1","8~0","3~0","1~1","3~1","2~1","2~0","2~2","3~0","1~1","6~0","5~0"
"Darmstadt","1~2","0~1",NA,"2~1","1~0","1~6","3~0","0~2","0~2","1~1","0~1","0~2","0~0","2~1","0~2","2~1","2~2","3~1"
"Dortmund","1~1","1~0","6~0",NA,"3~1","0~0","3~1","3~0","1~1","2~1","1~0","6~2","4~1","2~1","1~0","0~0","4~3","3~0"
"Ein Frankfurt","3~1","2~2","2~0","2~1",NA,"1~0","1~2","0~0","3~3","0~0","0~2","2~1","0~0","3~0","2~2","1~0","2~2","0~2"
"FC Koln","0~0","0~3","2~0","1~1","1~0",NA,"3~0","3~0","4~2","1~1","2~1","1~1","2~3","2~0","1~1","1~1","4~3","1~0"
"Freiburg","2~1","1~2","1~0","0~3","1~0","2~1",NA,"1~0","2~1","1~1","1~1","2~1","3~1","1~0","1~4","2~0","2~5","0~3"
"Hamburg","1~0","0~1","1~2","2~5","0~3","2~1","2~2",NA,"1~0","2~1","1~1","1~0","2~1","0~0","0~4","2~1","2~2","2~1"
"Hertha","2~0","1~1","2~0","2~1","2~0","2~1","2~1","2~0",NA,"1~3","1~0","2~6","3~0","2~1","1~4","2~0","0~1","1~0"
"Hoffenheim","0~0","1~0","2~0","2~2","1~0","4~0","2~1","2~2","1~0",NA,"5~2","1~0","5~3","4~0","2~2","2~1","1~1","0~0"
"Ingolstadt","0~2","0~2","3~2","3~3","0~2","2~2","1~2","3~1","0~2","1~2",NA,"1~1","0~2","2~1","1~0","1~1","2~4","1~1"
"Leverkusen","0~0","0~0","3~2","2~0","3~0","2~2","1~1","3~1","3~1","0~3","1~2",NA,"2~3","0~2","2~3","1~4","1~1","3~3"
"M'gladbach","1~1","0~1","2~2","2~3","0~0","1~2","3~0","0~0","1~0","1~1","2~0","2~1",NA,"1~0","1~2","4~2","4~1","1~2"
"Mainz","2~0","1~3","2~1","1~1","4~2","0~0","4~2","3~1","1~0","4~4","2~0","2~3","1~2",NA,"2~3","0~1","0~2","1~1"
"RB Leipzig","2~1","4~5","4~0","1~0","3~0","3~1","4~0","0~3","2~0","2~1","0~0","1~0","1~1","3~1",NA,"2~1","3~1","0~1"
"Schalke 04","3~0","0~2","3~1","1~1","0~1","1~3","1~1","1~1","2~0","1~1","1~0","0~1","4~0","3~0","1~1",NA,"3~1","4~1"
"Werder Bremen","1~2","1~2","2~0","1~2","1~2","1~1","1~3","2~1","2~0","3~5","2~1","2~1","0~1","1~2","3~0","3~0",NA,"2~1"
"Wolfsburg","1~2","0~6","1~0","1~5","1~0","0~0","0~1","1~0","2~3","2~1","3~0","1~2","1~1","0~0","0~1","0~1","1~2",NA
