"Home...Away","AUG","BAY","DOR","EIN","FC ","FRE","HAM","HAN","HER","HOF","LEV","M'G","MAI","RB ","SCH","STU","WER","WOL"
"Augsburg",NA,"1~4","1~2","3~0","3~0","3~3","1~0","1~2","1~1","0~2","1~1","2~2","2~0","1~0","1~2","0~1","1~3","2~1"
"Bayern Munich","3~0",NA,"6~0","4~1","1~0","5~0","6~0","3~1","0~0","5~2","3~1","5~1","4~0","2~0","2~1","1~4","4~2","2~2"
"Dortmund","1~1","1~3",NA,"3~2","5~0","2~2","2~0","1~0","2~0","2~1","4~0","6~1","1~2","2~3","4~4","3~0","1~2","0~0"
"Ein Frankfurt","1~2","0~1","2~2",NA,"4~2","1~1","3~0","1~0","0~3","1~1","0~1","2~0","3~0","2~1","2~2","2~1","2~1","0~1"
"FC Koln","1~1","1~3","2~3","0~1",NA,"3~4","1~3","1~1","0~2","0~3","2~0","2~1","1~1","1~2","2~2","2~3","0~0","1~0"
"Freiburg","2~0","0~4","0~0","0~0","3~2",NA,"0~0","1~1","1~1","3~2","0~0","1~0","2~1","2~1","0~1","1~2","1~0","0~2"
"Hamburg","1~0","0~1","0~3","1~2","0~2","1~0",NA,"1~1","1~2","3~0","1~2","2~1","0~0","0~2","3~2","3~1","0~0","0~0"
"Hannover","1~3","0~3","4~2","1~2","0~0","2~1","2~0",NA,"3~1","2~0","4~4","0~1","3~2","2~3","1~0","1~1","2~1","0~1"
"Hertha","2~2","2~2","1~1","1~2","2~1","0~0","2~1","3~1",NA,"1~1","2~1","2~4","0~2","2~6","0~2","2~0","1~1","0~0"
"Hoffenheim","2~2","2~0","3~1","1~1","6~0","1~1","2~0","3~1","1~1",NA,"1~4","1~3","4~2","4~0","2~0","1~0","1~0","3~0"
"Leverkusen","0~0","1~3","1~1","4~1","2~1","4~0","3~0","3~2","0~2","2~2",NA,"2~0","2~0","2~2","0~2","0~1","1~0","2~2"
"M'gladbach","2~0","2~1","0~1","0~1","1~0","3~1","3~1","2~1","2~1","3~3","1~5",NA,"1~1","0~1","1~1","2~0","2~2","3~0"
"Mainz","1~3","0~2","0~2","1~1","1~0","2~0","3~2","0~1","1~0","2~3","3~1","0~0",NA,"3~0","0~1","3~2","1~2","1~1"
"RB Leipzig","2~0","2~1","1~1","2~1","1~2","4~1","1~1","2~1","2~3","2~5","1~4","2~2","2~2",NA,"3~1","1~0","2~0","4~1"
"Schalke 04","3~2","0~3","2~0","1~0","2~2","2~0","2~0","1~1","1~0","2~1","1~1","1~1","2~0","2~0",NA,"3~1","1~2","1~1"
"Stuttgart","0~0","0~1","2~1","1~0","2~1","3~0","1~1","1~1","1~0","2~0","0~2","1~0","1~0","0~0","0~2",NA,"2~0","1~0"
"Werder Bremen","0~3","0~2","1~1","2~1","3~1","0~0","1~0","4~0","0~0","1~1","0~0","0~2","2~2","1~1","1~2","1~0",NA,"3~1"
"Wolfsburg","0~0","1~2","0~3","1~3","4~1","3~1","1~3","1~1","3~3","1~1","1~2","3~0","1~1","1~1","0~1","1~1","1~1",NA
