"Home...Away","AUG","BAY","DOR","EIN","FOR","FRE","HAN","HER","HOF","LEV","M'G","MAI","NUR","RB ","SCH","STU","WER","WOL"
"Augsburg",NA,"2~3","2~1","1~3","1~2","4~1","3~1","3~4","0~4","1~4","1~1","3~0","2~2","0~0","1~1","6~0","2~3","2~3"
"Bayern Munich","1~1",NA,"5~0","5~1","3~3","1~1","3~1","1~0","3~1","3~1","0~3","6~0","3~0","1~0","3~1","4~1","1~0","6~0"
"Dortmund","4~3","3~2",NA,"3~1","3~2","2~0","5~1","2~2","3~3","3~2","2~1","2~1","7~0","4~1","2~4","3~1","2~1","2~0"
"Ein Frankfurt","1~3","0~3","1~1",NA,"7~1","3~1","4~1","0~0","3~2","2~1","1~1","0~2","1~0","1~1","3~0","3~0","1~2","1~2"
"Fortuna Dusseldorf","1~2","1~4","2~1","0~3",NA,"2~0","2~1","4~1","2~1","1~2","3~1","0~1","2~1","0~4","0~2","3~0","4~1","0~3"
"Freiburg","5~1","1~1","0~4","0~2","1~1",NA,"1~1","2~1","2~4","0~0","3~1","1~3","5~1","3~0","1~0","3~3","1~1","3~3"
"Hannover","1~2","0~4","0~0","0~3","0~1","3~0",NA,"0~2","1~3","2~3","0~1","1~0","2~0","0~3","0~1","3~1","0~1","2~1"
"Hertha","2~2","2~0","2~3","1~0","1~2","1~1","0~0",NA,"3~3","1~5","4~2","2~1","1~0","0~3","2~2","3~1","1~1","0~1"
"Hoffenheim","2~1","1~3","1~1","1~2","1~1","3~1","3~0","2~0",NA,"4~1","0~0","1~1","2~1","1~2","1~1","4~0","0~1","1~4"
"Leverkusen","1~0","3~1","2~4","6~1","2~0","2~0","2~2","3~1","1~4",NA,"0~1","1~0","2~0","2~4","1~1","2~0","1~3","1~3"
"M'gladbach","2~0","1~5","0~2","3~1","3~0","1~1","4~1","0~3","2~2","2~0",NA,"4~0","2~0","1~2","2~1","3~0","1~1","0~3"
"Mainz","2~1","1~2","1~2","2~2","3~1","5~0","1~1","0~0","4~2","1~5","0~1",NA,"2~1","3~3","3~0","1~0","2~1","0~0"
"Nurnberg","3~0","1~1","0~0","1~1","3~0","0~1","2~0","1~3","1~3","1~1","0~4","1~1",NA,"0~1","1~1","0~2","1~1","0~2"
"RB Leipzig","0~0","0~0","0~1","0~0","1~1","2~1","3~2","5~0","1~1","3~0","2~0","4~1","6~0",NA,"0~0","2~0","3~2","2~0"
"Schalke 04","0~0","0~2","1~2","1~2","0~4","0~0","3~1","0~2","2~5","1~2","0~2","1~0","5~2","0~1",NA,"0~0","0~2","2~1"
"Stuttgart","1~0","0~3","0~4","0~3","0~0","2~2","5~1","2~1","1~1","0~1","1~0","2~3","1~1","1~3","1~3",NA,"2~1","3~0"
"Werder Bremen","4~0","1~2","2~2","2~2","3~1","2~1","1~1","3~1","1~1","2~6","1~3","3~1","1~1","2~1","4~2","1~1",NA,"2~0"
"Wolfsburg","8~1","1~3","0~1","1~1","5~2","1~3","3~1","2~2","2~2","0~3","2~2","3~0","2~0","1~0","2~1","2~0","1~1",NA
