"Home...Away","AUG","BAY","DOR","EIN","FC ","FOR","FRE","HER","HOF","LEV","M'G","MAI","PAD","RB ","SCH","UNI","WER","WOL"
"Augsburg",NA,"2~2","3~5","2~1","1~1","3~0","1~1","4~0","1~3","0~3","2~3","2~1","0~0","1~2","2~3","1~1","2~1","1~2"
"Bayern Munich","2~0",NA,"4~0","5~2","4~0","5~0","3~1","2~2","1~2","1~2","2~1","6~1","3~2","0~0","5~0","2~1","6~1","2~0"
"Dortmund","5~1","0~1",NA,"4~0","5~1","5~0","1~0","1~0","0~4","4~0","1~0","0~2","3~3","3~3","4~0","5~0","2~2","3~0"
"Ein Frankfurt","5~0","5~1","2~2",NA,"2~4","2~1","3~3","2~2","1~0","3~0","1~3","0~2","3~2","2~0","2~1","1~2","2~2","0~2"
"FC Koln","1~1","1~4","1~3","1~1",NA,"2~2","4~0","0~4","1~2","2~0","0~1","2~2","3~0","2~4","3~0","1~2","1~0","3~1"
"Fortuna Dusseldorf","1~1","0~4","0~1","1~1","2~0",NA,"1~2","3~3","2~2","1~3","1~4","1~0","0~0","0~3","2~1","2~1","0~1","1~1"
"Freiburg","1~1","1~3","2~2","1~0","1~2","0~2",NA,"2~1","1~0","0~1","1~0","3~0","0~2","2~1","4~0","3~1","0~1","1~0"
"Hertha","2~0","0~4","1~2","1~4","0~5","3~1","1~0",NA,"2~3","2~0","0~0","1~3","2~1","2~4","0~0","4~0","2~2","0~3"
"Hoffenheim","2~4","0~6","2~1","1~2","3~1","1~1","0~3","0~3",NA,"2~1","0~3","1~5","3~0","0~2","2~0","4~0","3~2","2~3"
"Leverkusen","2~0","2~4","4~3","4~0","3~1","3~0","1~1","0~1","0~0",NA,"1~2","1~0","3~2","1~1","2~1","2~0","2~2","1~4"
"M'gladbach","5~1","2~1","1~2","4~2","2~1","2~1","4~2","2~1","1~1","1~3",NA,"3~1","2~0","1~3","0~0","4~1","3~1","3~0"
"Mainz","0~1","1~3","0~4","2~1","3~1","1~1","1~2","2~1","0~1","0~1","1~3",NA,"2~0","0~5","0~0","2~3","3~1","0~1"
"Paderborn","0~1","2~3","1~6","2~1","1~2","2~0","1~3","1~2","1~1","1~4","1~3","1~2",NA,"2~3","1~5","1~1","1~5","2~4"
"RB Leipzig","3~1","1~1","0~2","2~1","4~1","2~2","1~1","2~2","3~1","1~1","2~2","8~0","1~1",NA,"1~3","3~1","3~0","1~1"
"Schalke 04","0~3","0~3","0~0","1~0","1~1","3~3","2~2","3~0","1~1","1~1","2~0","2~1","1~1","0~5",NA,"2~1","0~1","1~4"
"Union Berlin","2~0","0~2","3~1","1~2","2~0","3~0","2~0","1~0","0~2","2~3","2~0","1~1","1~0","0~4","1~1",NA,"1~2","2~2"
"Werder Bremen","3~2","0~1","0~2","0~3","6~1","1~3","2~2","1~1","0~3","1~4","0~0","0~5","0~1","0~3","1~2","0~2",NA,"0~1"
"Wolfsburg","0~0","0~4","0~2","1~2","2~1","1~1","2~2","1~2","1~1","0~2","2~1","4~0","1~1","0~0","1~1","1~0","2~3",NA
