"Home...Away","AUG","BAY","BIE","DOR","EIN","FC ","FRE","HER","HOF","LEV","M'G","MAI","RB ","SCH","STU","UNI","WER","WOL"
"Augsburg",NA,"0~1","0~0","2~0","0~2","2~3","1~1","0~3","2~1","1~1","3~1","3~1","0~2","2~2","1~4","2~1","2~0","0~2"
"Bayern Munich","5~2",NA,"3~3","4~2","5~0","5~1","2~1","4~3","4~1","2~0","6~0","5~2","3~3","8~0","4~0","1~1","1~1","2~1"
"Bielefeld","0~1","1~4",NA,"0~2","1~5","1~0","1~0","1~0","1~1","1~2","0~1","2~1","0~1","1~0","3~0","0~0","0~2","0~3"
"Dortmund","3~1","2~3","3~0",NA,"1~2","1~2","4~0","2~0","2~2","3~1","3~0","1~1","3~2","3~0","1~5","2~0","4~1","2~0"
"Ein Frankfurt","2~0","2~1","1~1","1~1",NA,"2~0","3~1","3~1","2~1","2~1","3~3","1~1","1~1","3~1","1~1","5~2","1~1","4~3"
"FC Koln","0~1","1~2","3~1","2~2","1~1",NA,"1~4","0~0","2~3","0~4","1~3","2~3","2~1","1~0","0~1","1~2","1~1","2~2"
"Freiburg","2~0","2~2","2~0","2~1","2~2","5~0",NA,"4~1","1~1","2~4","2~2","1~3","0~3","4~0","2~1","0~1","1~1","1~1"
"Hertha","2~1","0~1","0~0","2~5","1~3","0~0","3~0",NA,"0~3","3~0","2~2","0~0","0~3","3~0","0~2","3~1","1~4","1~1"
"Hoffenheim","3~1","4~1","0~0","0~1","1~3","3~0","1~3","2~1",NA,"0~0","3~2","1~2","0~1","4~2","3~3","1~3","4~0","2~1"
"Leverkusen","3~1","1~2","1~2","2~1","3~1","3~0","1~2","0~0","4~1",NA,"4~3","2~2","1~1","2~1","5~2","1~1","1~1","0~1"
"M'gladbach","1~1","3~2","5~0","4~2","4~0","1~2","2~1","1~1","1~2","0~1",NA,"1~2","1~0","4~1","1~2","1~1","1~0","1~1"
"Mainz","0~1","2~1","1~1","1~3","0~2","0~1","1~0","1~1","1~1","0~1","2~3",NA,"3~2","2~2","1~4","1~0","0~1","0~2"
"RB Leipzig","2~1","0~1","2~1","1~3","1~1","0~0","3~0","2~1","0~0","1~0","3~2","3~1",NA,"4~0","2~0","1~0","2~0","2~2"
"Schalke 04","1~0","0~4","0~1","0~4","4~3","1~2","0~2","1~2","4~0","0~3","0~3","0~0","0~3",NA,"1~1","1~1","1~3","0~2"
"Stuttgart","2~1","1~3","0~2","2~3","2~2","1~1","2~3","1~1","2~0","1~1","2~2","2~0","0~1","5~1",NA,"2~2","1~0","1~3"
"Union Berlin","1~3","1~1","5~0","2~1","3~3","2~1","1~1","1~1","1~1","1~0","1~1","4~0","2~1","0~0","2~1",NA,"3~1","2~2"
"Werder Bremen","2~0","1~3","1~0","1~2","2~1","1~1","0~0","1~4","1~1","0~0","2~4","0~1","1~4","1~1","1~2","0~2",NA,"1~2"
"Wolfsburg","0~0","2~3","2~1","0~2","2~1","1~0","3~0","2~0","2~1","0~0","0~0","2~3","2~2","5~0","1~0","3~0","5~3",NA
