"Home...Away","AUG","BAY","BIE","BOC","DOR","EIN","FC ","FRE","GRE","HER","HOF","LEV","M'G","MAI","RB ","STU","UNI","WOL"
"Augsburg",NA,"2~1","1~1","2~3","1~1","1~1","1~4","1~2","2~1","0~1","0~4","1~4","1~0","2~1","1~1","4~1","2~0","3~0"
"Bayern Munich","1~0",NA,"1~0","7~0","3~1","1~2","3~2","2~1","4~1","5~0","4~0","1~1","1~2","2~1","3~2","2~2","4~0","4~0"
"Bielefeld","0~1","0~3",NA,"2~0","1~3","1~1","1~1","0~0","2~2","1~1","0~0","0~4","1~1","1~2","1~1","1~1","1~0","2~2"
"Bochum","0~2","4~2","2~1",NA,"1~1","2~0","2~2","2~1","2~1","1~3","2~0","0~0","0~2","2~0","0~1","0~0","0~1","1~0"
"Dortmund","2~1","2~3","1~0","3~4",NA,"5~2","2~0","5~1","3~0","2~1","3~2","2~5","6~0","3~1","1~4","2~1","4~2","6~1"
"Ein Frankfurt","0~0","0~1","0~2","2~1","2~3",NA,"1~1","1~2","0~0","1~2","2~2","5~2","1~1","1~0","1~1","1~1","2~1","0~2"
"FC Koln","0~2","0~4","3~1","2~1","1~1","1~0",NA,"1~0","3~1","3~1","0~1","2~2","4~1","3~2","1~1","1~0","2~2","0~1"
"Freiburg","3~0","1~4","2~2","3~0","2~1","0~2","1~1",NA,"3~1","3~0","1~2","2~1","3~3","1~1","1~1","2~0","1~4","3~2"
"Greuther Furth","0~0","1~3","1~1","0~1","1~3","1~2","1~1","0~0",NA,"2~1","3~6","1~4","0~2","2~1","1~6","0~0","1~0","0~2"
"Hertha","1~1","1~4","2~0","1~1","3~2","1~4","1~3","1~2","2~1",NA,"3~0","1~1","1~0","1~2","1~6","2~0","1~4","1~2"
"Hoffenheim","3~1","1~1","2~0","1~2","2~3","3~2","5~0","3~4","0~0","2~0",NA,"2~4","1~1","0~2","2~0","2~1","2~2","3~1"
"Leverkusen","5~1","1~5","3~0","1~0","3~4","2~0","0~1","2~1","7~1","2~1","2~2",NA,"4~0","1~0","0~1","4~2","2~2","0~2"
"M'gladbach","3~2","1~1","3~1","2~1","1~0","2~3","1~3","0~6","4~0","2~0","5~1","1~2",NA,"1~1","3~1","1~1","1~2","2~2"
"Mainz","4~1","3~1","4~0","1~0","0~1","2~2","1~1","0~0","3~0","4~0","2~0","3~2","1~1",NA,"1~0","0~0","1~2","3~0"
"RB Leipzig","4~0","1~4","0~2","3~0","2~1","0~0","3~1","1~1","4~1","6~0","3~0","1~3","4~1","4~1",NA,"4~0","1~2","2~0"
"Stuttgart","3~2","0~5","0~1","1~1","0~2","2~3","2~1","2~3","5~1","2~2","3~1","1~3","3~2","2~1","0~2",NA,"1~1","1~1"
"Union Berlin","0~0","2~5","1~0","3~2","0~3","2~0","1~0","0~0","1~1","2~0","2~1","1~1","2~1","3~1","2~1","1~1",NA,"2~0"
"Wolfsburg","1~0","2~2","4~0","1~0","1~3","1~1","2~3","0~2","4~1","0~0","1~2","0~2","1~3","5~0","1~0","0~2","1~0",NA
