"Home...Away","AUG","BAY","BOC","DAR","DOR","EIN","FC ","FRE","HEI","HOF","LEV","M'G","MAI","RB ","STU","UNI","WER","WOL"
"Augsburg",NA,"2~3","2~2","1~2","1~1","2~1","1~1","2~1","1~0","1~1","0~1","4~4","2~1","2~2","0~1","2~0","0~3","3~2"
"Bayern Munich","3~1",NA,"7~0","8~0","0~2","2~1","2~0","3~0","4~2","3~0","2~2","3~1","8~1","2~1","3~0","1~0","0~1","2~0"
"Bochum","1~1","3~2",NA,"2~2","1~1","1~1","1~1","1~2","1~1","3~2","0~5","1~3","2~2","1~4","1~0","3~0","1~1","3~1"
"Darmstadt","0~6","2~5","1~2",NA,"0~3","2~2","0~1","0~1","0~1","0~6","0~2","3~3","0~0","1~3","1~2","1~4","4~2","0~1"
"Dortmund","5~1","0~4","3~1","4~0",NA,"3~1","1~0","3~0","2~2","2~3","1~1","4~2","1~1","2~3","0~1","4~2","1~0","1~0"
"Ein Frankfurt","3~1","5~1","1~1","1~0","3~3",NA,"1~1","0~0","2~0","3~1","1~5","2~1","1~0","2~2","1~2","0~0","1~1","2~2"
"FC Koln","1~1","0~1","2~1","0~2","0~4","2~0",NA,"0~0","1~1","1~3","0~2","3~1","0~0","1~5","0~2","3~2","0~1","1~2"
"Freiburg","2~0","2~2","2~1","1~1","2~4","3~3","2~0",NA,"1~1","3~2","2~3","3~3","1~1","1~4","1~3","0~0","1~0","1~2"
"Heidenheim","2~5","3~2","0~0","3~2","0~0","1~2","4~1","3~2",NA,"2~3","1~2","1~1","1~1","1~2","2~0","1~0","4~2","1~1"
"Hoffenheim","3~1","4~2","3~1","3~3","1~3","1~3","1~1","1~2","1~1",NA,"2~3","4~3","1~1","1~1","0~3","0~1","2~1","3~1"
"Leverkusen","2~1","3~0","4~0","5~1","1~1","3~0","3~0","2~1","4~1","2~1",NA,"0~0","2~1","3~2","2~2","4~0","5~0","2~0"
"M'gladbach","1~2","1~2","5~2","0~0","1~2","1~1","3~3","0~3","2~1","2~1","0~3",NA,"2~2","0~1","3~1","0~0","2~2","4~0"
"Mainz","1~0","1~3","2~0","4~0","3~0","1~1","1~1","0~1","0~1","4~1","0~3","1~1",NA,"2~0","1~3","1~1","0~1","1~1"
"RB Leipzig","3~0","2~2","0~0","2~0","4~1","0~1","6~0","3~1","2~1","3~1","2~3","2~0","0~0",NA,"5~1","2~0","1~1","3~0"
"Stuttgart","3~0","3~1","5~0","3~1","2~1","3~0","1~1","5~0","3~3","2~3","1~1","4~0","3~1","5~2",NA,"2~0","2~0","3~1"
"Union Berlin","1~1","1~5","3~4","1~0","0~2","0~3","2~0","2~1","2~2","0~2","0~1","3~1","4~1","0~3","0~3",NA,"2~1","1~0"
"Werder Bremen","2~0","0~4","4~1","1~1","1~2","2~2","2~1","3~1","1~2","2~3","0~3","2~2","4~0","1~1","2~1","2~0",NA,"0~2"
"Wolfsburg","1~3","1~2","1~0","3~0","1~1","2~0","1~1","0~1","2~0","2~2","1~2","1~3","1~3","2~1","2~3","2~1","2~2",NA
