"Home...Away","ALM","ATH","ATH","BAR","CEL","COR","EIB","ELC","ESP","GET","GRA","LA ","LEV","MAL","REA","SEV","SOC","VAL","VAL","VIL"
"Almeria",NA,"0~1","0~1","1~2","2~2","1~1","2~0","2~2","1~1","1~0","3~0","0~0","1~4","1~2","1~4","0~2","2~2","2~3","0~1","0~0"
"Ath Bilbao","2~1",NA,"1~4","2~5","1~1","0~1","0~0","1~2","3~1","4~0","0~1","1~1","3~0","1~1","1~0","1~0","1~1","1~1","1~0","4~0"
"Ath Madrid","3~0","0~0",NA,"0~1","2~2","4~2","2~1","3~0","2~0","2~0","2~0","2~0","3~1","3~1","4~0","4~0","2~0","1~1","3~1","0~1"
"Barcelona","4~0","2~0","3~1",NA,"0~1","5~0","3~0","3~0","5~1","6~0","6~0","2~2","5~0","0~1","2~1","5~1","2~0","2~0","6~1","3~2"
"Celta","0~1","1~2","2~0","0~1",NA,"1~0","0~1","1~1","3~2","3~1","0~0","2~1","3~0","1~0","2~4","1~1","2~2","1~1","6~1","1~3"
"Cordoba","1~2","0~1","0~2","0~8","1~1",NA,"1~1","0~2","0~0","1~2","2~0","0~0","0~0","1~2","1~2","1~3","1~1","1~2","1~2","0~2"
"Eibar","5~2","0~1","1~3","0~2","0~1","3~0",NA,"0~1","0~2","2~1","1~1","0~1","3~3","1~0","0~4","1~3","1~0","0~1","1~2","1~1"
"Elche","1~0","2~3","0~2","0~6","0~1","2~2","0~2",NA,"2~1","0~1","1~1","4~0","1~0","1~2","0~2","0~2","1~0","0~4","2~0","2~2"
"Espanol","3~0","1~0","0~0","0~2","1~0","1~0","1~2","1~1",NA,"2~0","2~1","0~0","2~1","2~2","1~4","1~2","2~0","1~2","1~1","1~1"
"Getafe","1~0","1~2","0~1","0~0","2~1","1~1","1~1","0~0","2~1",NA,"1~2","2~1","0~1","1~0","0~3","2~1","0~1","0~3","1~2","1~1"
"Granada","0~0","0~0","0~0","1~3","1~1","2~0","0~0","1~0","1~2","1~1",NA,"2~1","0~1","1~0","0~4","1~1","1~1","1~1","0~1","0~0"
"La Coruna","0~1","1~0","1~2","0~4","0~2","1~1","2~0","1~0","0~0","1~2","2~2",NA,"2~0","0~1","2~8","3~4","0~0","3~0","2~2","1~1"
"Levante","2~1","0~2","2~2","0~5","0~1","1~0","2~1","0~0","2~2","1~1","2~1","0~0",NA,"4~1","0~5","1~2","1~1","2~1","0~2","0~2"
"Malaga","1~2","1~0","2~2","0~0","1~0","2~0","2~1","1~2","0~2","3~2","2~1","1~1","0~0",NA,"1~2","2~3","1~1","1~0","4~0","1~1"
"Real Madrid","3~0","5~0","1~2","3~1","3~0","2~0","3~0","5~1","3~0","7~3","9~1","2~0","2~0","3~1",NA,"2~1","4~1","2~2","5~1","1~1"
"Sevilla","2~1","2~0","0~0","2~2","1~0","3~0","0~0","3~0","3~2","2~0","5~1","4~1","1~1","2~0","2~3",NA,"1~0","1~1","2~0","2~1"
"Sociedad","1~2","1~1","2~1","1~0","1~1","3~1","1~0","3~0","1~0","1~2","0~3","2~2","3~0","0~1","4~2","4~3",NA,"1~1","0~1","0~0"
"Valencia","3~2","0~0","3~1","0~1","1~1","3~0","3~1","3~1","3~1","1~0","4~0","2~0","3~0","3~0","2~1","3~1","2~0",NA,"3~0","0~0"
"Vallecano","2~0","2~1","0~0","0~2","1~0","0~1","2~3","2~3","1~3","2~0","3~1","1~2","4~2","1~0","0~2","0~1","2~4","1~1",NA,"2~0"
"Villarreal","2~0","2~0","0~1","0~1","4~1","0~0","1~0","1~0","0~3","2~1","2~0","3~0","1~0","2~1","0~2","0~2","4~0","1~3","4~2",NA
