"Home...Away","ATH","ATH","BAR","BET","CEL","EIB","ESP","GET","GRA","LA ","LAS","LEV","MAL","REA","SEV","SOC","SP ","VAL","VAL","VIL"
"Ath Bilbao",NA,"0~1","0~1","3~1","2~1","5~2","2~1","3~1","1~1","4~1","2~2","2~0","0~0","1~2","3~1","0~1","3~0","3~1","1~0","0~0"
"Ath Madrid","2~1",NA,"1~2","5~1","2~0","3~1","1~0","2~0","3~0","3~0","1~0","1~0","1~0","1~1","0~0","3~0","1~0","2~1","1~0","0~0"
"Barcelona","6~0","2~1",NA,"4~0","6~1","3~1","5~0","6~0","4~0","2~2","2~1","4~1","1~0","1~2","2~1","4~0","6~0","1~2","5~2","3~0"
"Betis","1~3","0~1","0~2",NA,"1~1","0~4","1~3","2~1","2~0","1~2","1~0","1~0","0~1","1~1","0~0","1~0","1~1","1~0","2~2","1~1"
"Celta","0~1","0~2","4~1","1~1",NA,"3~2","1~0","0~0","2~1","1~1","3~3","4~3","1~0","1~3","1~1","1~0","2~1","1~5","3~0","0~0"
"Eibar","2~0","0~2","0~4","1~1","1~1",NA,"2~1","3~1","5~1","1~1","0~1","2~0","1~2","0~2","1~1","2~1","2~0","1~1","1~0","1~2"
"Espanol","2~1","1~3","0~0","0~3","1~1","4~2",NA,"1~0","1~1","1~0","1~0","1~1","2~0","0~6","1~0","0~5","1~2","1~0","2~1","2~2"
"Getafe","0~1","0~1","0~2","1~0","0~1","1~1","3~1",NA,"1~2","0~0","4~0","3~0","1~0","1~5","1~1","1~1","1~1","2~2","1~1","2~0"
"Granada","2~0","0~2","0~3","1~1","0~2","1~3","1~1","3~2",NA,"1~1","3~2","5~1","0~0","1~2","2~1","0~3","2~0","1~2","2~2","1~3"
"La Coruna","2~2","1~1","0~8","2~2","2~0","2~0","3~0","0~2","0~1",NA,"1~3","2~1","3~3","0~2","1~1","0~0","2~3","1~1","2~2","1~2"
"Las Palmas","0~0","0~3","1~2","1~0","2~1","0~2","4~0","4~0","4~1","0~2",NA,"0~0","1~1","1~2","2~0","2~0","1~1","2~1","0~1","0~0"
"Levante","2~2","2~1","0~2","0~1","1~2","2~2","2~1","3~0","1~2","1~1","3~2",NA,"0~1","1~3","1~1","0~4","0~0","1~0","2~1","1~0"
"Malaga","0~1","1~0","1~2","0~1","2~0","0~0","1~1","3~0","2~2","2~0","4~1","3~1",NA,"1~1","0~0","3~1","1~0","1~2","1~1","0~1"
"Real Madrid","4~2","0~1","0~4","5~0","7~1","4~0","6~0","4~1","1~0","5~0","3~1","3~0","0~0",NA,"4~0","3~1","5~1","3~2","10~2","3~0"
"Sevilla","2~0","0~3","2~1","2~0","1~2","1~0","2~0","5~0","1~4","1~1","2~0","3~1","2~1","3~2",NA,"1~2","2~0","1~0","3~2","4~2"
"Sociedad","0~0","0~2","1~0","2~1","2~3","2~1","2~3","1~2","3~0","1~1","0~1","1~1","1~1","0~1","2~0",NA,"0~0","2~0","2~1","0~2"
"Sp Gijon","0~2","2~1","1~3","1~2","0~1","2~0","2~4","1~2","3~3","1~1","3~1","0~3","1~0","0~0","2~1","5~1",NA,"0~1","2~2","2~0"
"Valencia","0~3","1~3","1~1","0~0","0~2","4~0","2~1","2~2","1~0","1~1","1~1","3~0","3~0","2~2","2~1","0~1","0~1",NA,"2~2","0~2"
"Vallecano","0~3","0~2","1~5","0~2","3~0","1~1","3~0","2~0","2~1","1~3","2~0","3~1","1~2","2~3","2~2","2~2","2~1","0~0",NA,"2~1"
"Villarreal","3~1","1~0","2~2","0~0","1~2","1~1","3~1","2~0","1~0","0~2","0~1","3~0","1~0","1~0","2~1","0~0","2~0","1~0","2~1",NA
