"Home...Away","ALA","ATH","ATH","BAR","BET","CEL","EIB","ESP","GRA","LA ","LAS","LEG","MAL","OSA","REA","SEV","SOC","SP ","VAL","VIL"
"Alaves",NA,"1~0","0~0","0~6","1~0","3~1","0~0","0~1","3~1","0~0","1~1","2~2","1~1","0~1","1~4","1~1","1~0","0~0","2~1","2~1"
"Ath Bilbao","0~0",NA,"2~2","0~1","2~1","2~1","3~1","2~0","3~1","2~1","5~1","1~1","1~0","1~1","1~2","3~1","3~2","2~1","2~1","1~0"
"Ath Madrid","1~1","3~1",NA,"1~2","1~0","3~2","1~0","0~0","7~1","1~0","1~0","2~0","4~2","3~0","0~3","3~1","1~0","5~0","3~0","0~1"
"Barcelona","1~2","3~0","1~1",NA,"6~2","5~0","4~2","4~1","1~0","4~0","5~0","2~1","0~0","7~1","1~1","3~0","3~2","6~1","4~2","4~1"
"Betis","1~4","1~0","1~1","1~1",NA,"3~3","2~0","0~1","2~2","0~0","2~0","2~0","1~0","2~0","1~6","1~2","2~3","0~0","0~0","0~1"
"Celta","1~0","0~3","0~4","4~3","0~1",NA,"0~2","2~2","3~1","4~1","3~1","0~1","3~1","3~0","1~4","0~3","2~2","2~1","2~1","0~1"
"Eibar","0~0","0~1","0~2","0~4","3~1","1~0",NA,"1~1","4~0","3~1","3~1","2~0","3~0","2~3","1~4","1~1","2~0","0~1","1~0","2~1"
"Espanol","1~0","0~0","0~1","0~3","2~1","0~2","3~3",NA,"3~1","1~1","4~3","3~0","2~2","3~0","0~2","3~1","1~2","2~1","0~1","0~0"
"Granada","2~1","1~2","0~1","1~4","4~1","0~3","1~2","1~2",NA,"1~1","1~0","0~1","0~2","1~1","0~4","2~1","0~2","0~0","1~3","1~1"
"La Coruna","0~1","0~1","1~1","2~1","1~1","0~1","2~1","1~2","0~0",NA,"3~0","1~2","2~0","2~0","2~6","2~3","5~1","2~1","1~1","0~0"
"Las Palmas","1~1","3~1","0~5","1~4","4~1","3~3","1~0","0~0","5~1","1~1",NA,"1~1","1~0","5~2","2~2","0~1","0~1","1~0","3~1","1~0"
"Leganes","1~1","0~0","0~0","1~5","4~0","0~2","1~1","0~1","1~0","4~0","3~0",NA,"0~0","2~0","2~4","2~3","0~2","0~2","1~2","0~0"
"Malaga","1~2","2~1","0~2","2~0","1~2","3~0","2~1","0~1","1~1","4~3","2~1","4~0",NA,"1~1","0~2","4~2","0~2","3~2","2~0","0~2"
"Osasuna","0~1","1~2","0~3","0~3","1~2","0~0","1~1","1~2","2~1","2~2","2~2","2~1","1~1",NA,"1~3","3~4","0~2","2~2","3~3","1~4"
"Real Madrid","3~0","2~1","1~1","2~3","2~1","2~1","1~1","2~0","5~0","3~2","3~3","3~0","2~1","5~2",NA,"4~1","3~0","2~1","2~1","1~1"
"Sevilla","2~1","1~0","1~0","1~2","1~0","2~1","2~0","6~4","2~0","4~2","2~1","1~1","4~1","5~0","2~1",NA,"1~1","0~0","2~1","0~0"
"Sociedad","3~0","0~2","2~0","1~1","1~0","1~0","2~2","1~1","2~1","1~0","4~1","1~1","2~2","3~2","0~3","0~4",NA,"3~1","3~2","0~1"
"Sp Gijon","2~4","2~1","1~4","0~5","2~2","1~1","2~3","1~1","3~1","0~1","1~0","2~1","0~1","3~1","2~3","1~1","1~3",NA,"1~2","1~3"
"Valencia","2~1","2~0","0~2","2~3","2~3","3~2","0~4","2~1","1~1","3~0","2~4","1~0","2~2","4~1","2~1","0~0","2~3","1~1",NA,"1~3"
"Villarreal","0~2","3~1","3~0","1~1","2~0","5~0","2~3","2~0","2~0","0~0","2~1","2~1","1~1","3~1","2~3","0~0","2~1","3~1","0~2",NA
