"Home...Away","ALA","ATH","ATH","BAR","BET","CEL","EIB","ESP","GET","GIR","LA ","LAS","LEG","LEV","MAL","REA","SEV","SOC","VAL","VIL"
"Alaves",NA,"3~1","0~1","0~2","1~3","2~1","1~2","1~0","2~0","1~2","1~0","2~0","2~2","1~0","1~0","1~2","1~0","0~2","1~2","0~3"
"Ath Bilbao","2~0",NA,"1~2","0~2","2~0","1~1","1~1","0~1","0~0","2~0","2~3","0~0","2~0","1~3","2~1","0~0","1~0","0~0","1~1","1~1"
"Ath Madrid","1~0","2~0",NA,"1~1","0~0","3~0","2~2","0~2","2~0","1~1","1~0","3~0","4~0","3~0","1~0","0~0","2~0","2~1","1~0","1~1"
"Barcelona","2~1","2~0","1~0",NA,"2~0","2~2","6~1","5~0","0~0","6~1","4~0","3~0","3~1","3~0","2~0","2~2","2~1","1~0","2~1","5~1"
"Betis","2~0","0~2","0~1","0~5",NA,"2~1","2~0","3~0","2~2","2~2","2~1","1~0","3~2","4~0","2~1","3~5","2~2","0~0","3~6","2~1"
"Celta","1~0","3~1","0~1","2~2","3~2",NA,"2~0","2~2","1~1","3~3","1~1","2~1","1~0","4~2","0~0","2~2","4~0","2~3","1~1","0~1"
"Eibar","0~1","0~1","0~1","0~2","5~0","0~4",NA,"3~1","0~1","4~1","0~0","1~0","1~0","2~2","1~1","1~2","5~1","0~0","2~1","1~0"
"Espanol","0~0","1~1","1~0","1~1","1~0","2~1","0~1",NA,"1~0","0~1","4~1","1~1","0~1","0~0","4~1","1~0","0~3","2~1","0~2","1~1"
"Getafe","4~1","2~2","0~1","1~2","0~1","3~0","0~0","1~0",NA,"1~1","3~0","2~0","0~0","0~1","1~0","1~2","0~1","2~1","1~0","4~0"
"Girona","2~3","2~0","2~2","0~3","0~1","1~0","1~4","0~2","1~0",NA,"2~0","6~0","3~0","1~1","1~0","2~1","0~1","1~1","0~1","1~2"
"La Coruna","1~0","2~2","0~1","2~4","0~1","1~3","1~1","0~0","2~1","1~2",NA,"1~1","1~0","2~2","3~2","0~3","0~0","2~4","1~2","2~4"
"Las Palmas","0~4","1~0","1~5","1~1","1~0","2~5","1~2","2~2","0~1","1~2","1~3",NA,"0~2","0~2","1~0","0~3","1~2","0~1","2~1","0~2"
"Leganes","1~0","1~0","0~0","0~3","3~2","1~0","0~1","3~2","1~2","0~0","0~0","0~0",NA,"0~3","2~0","1~3","2~1","1~0","0~1","3~1"
"Levante","0~2","1~2","0~5","5~4","0~2","0~1","2~1","1~1","1~1","1~2","2~2","2~1","0~0",NA,"1~0","2~2","2~1","3~0","1~1","1~0"
"Malaga","0~3","3~3","0~1","0~2","0~2","2~1","0~1","0~1","0~1","0~0","3~2","1~3","0~2","0~0",NA,"1~2","0~1","2~0","1~2","1~0"
"Real Madrid","4~0","1~1","1~1","0~3","0~1","6~0","3~0","2~0","3~1","6~3","7~1","3~0","2~1","1~1","3~2",NA,"5~0","5~2","2~2","0~1"
"Sevilla","1~0","2~0","2~5","2~2","3~5","2~1","3~0","1~1","1~1","1~0","2~0","1~0","2~1","0~0","2~0","3~2",NA,"1~0","0~2","2~2"
"Sociedad","2~1","3~1","3~0","2~4","4~4","1~2","3~1","1~1","1~2","5~0","5~0","2~2","3~2","3~0","0~2","1~3","3~1",NA,"2~3","3~0"
"Valencia","3~1","3~2","0~0","1~1","2~0","2~1","0~0","1~0","1~2","2~1","2~1","1~0","3~0","3~1","5~0","1~4","4~0","2~1",NA,"0~1"
"Villarreal","1~2","1~3","2~1","0~2","3~1","4~1","3~0","0~0","1~0","0~2","1~1","4~0","2~1","2~1","2~0","2~2","2~3","4~2","1~0",NA
