"Home...Away","ALA","ATH","ATH","BAR","BET","CEL","EIB","ESP","GET","GIR","HUE","LEG","LEV","REA","SEV","SOC","VAL","VAL","VAL","VIL"
"Alaves",NA,"0~0","0~4","0~2","0~0","0~0","1~1","2~1","1~1","2~1","2~1","1~1","2~0","1~0","1~1","0~1","2~1","2~2","0~1","2~1"
"Ath Bilbao","1~1",NA,"2~0","0~0","1~0","3~1","1~0","1~1","1~1","1~0","2~2","2~1","3~2","1~1","2~0","1~3","0~0","1~1","3~2","0~3"
"Ath Madrid","3~0","3~2",NA,"1~1","1~0","2~0","1~1","1~0","2~0","2~0","3~0","1~0","1~0","1~3","1~1","2~0","3~2","1~0","1~0","2~0"
"Barcelona","3~0","1~1","2~0",NA,"3~4","2~0","3~0","2~0","2~0","2~2","8~2","3~1","1~0","5~1","4~2","2~1","2~2","1~0","3~1","2~0"
"Betis","1~1","2~2","1~0","1~4",NA,"3~3","1~1","1~1","1~2","3~2","2~1","1~0","0~3","1~2","1~0","1~0","1~2","0~1","2~0","2~1"
"Celta","0~1","1~2","2~0","2~0","0~1",NA,"4~0","1~1","1~1","2~1","2~0","0~0","1~4","2~4","1~0","3~1","1~2","3~3","2~2","3~2"
"Eibar","2~1","1~1","0~1","2~2","1~0","1~0",NA,"3~0","2~2","3~0","1~2","1~0","4~4","3~0","1~3","2~1","1~1","1~2","2~1","0~0"
"Espanol","2~1","1~0","3~0","0~4","1~3","1~1","1~0",NA,"1~1","1~3","1~1","1~0","1~0","2~4","0~1","2~0","2~0","3~1","2~1","3~1"
"Getafe","4~0","1~0","0~2","1~2","2~0","3~1","2~0","3~0",NA,"2~0","2~1","0~2","0~1","0~0","3~0","1~0","0~1","0~0","2~1","2~2"
"Girona","1~1","1~2","1~1","0~2","0~1","3~2","2~3","1~2","1~1",NA,"0~2","0~0","1~2","1~4","1~0","0~0","2~3","0~0","2~1","0~1"
"Huesca","1~3","0~1","0~3","0~0","2~1","3~3","2~0","0~2","1~1","1~1",NA,"2~1","2~2","0~1","2~1","0~1","2~6","4~0","0~1","2~2"
"Leganes","1~0","0~1","1~1","2~1","3~0","0~0","2~2","0~2","1~1","0~2","1~0",NA,"1~0","1~1","1~1","2~2","1~1","1~0","1~0","0~1"
"Levante","2~1","3~0","2~2","0~5","4~0","1~2","2~2","2~2","0~0","2~2","2~2","2~0",NA,"1~2","2~6","1~3","2~2","2~0","4~1","0~2"
"Real Madrid","3~0","3~0","0~0","0~1","0~2","2~0","2~1","1~0","2~0","1~2","3~2","4~1","1~2",NA,"2~0","0~2","2~0","2~0","1~0","3~2"
"Sevilla","2~0","2~0","1~1","2~4","3~2","2~1","2~2","2~1","0~2","2~0","2~1","0~3","5~0","3~0",NA,"5~2","0~1","1~0","5~0","0~0"
"Sociedad","0~1","2~1","0~2","1~2","2~1","2~1","1~1","3~2","2~1","0~0","0~0","3~0","1~1","3~1","0~0",NA,"0~1","1~2","2~2","0~1"
"Valencia","3~1","2~0","1~1","1~1","0~0","1~1","0~1","0~0","0~0","0~1","2~1","1~1","3~1","2~1","1~1","0~0",NA,"1~1","3~0","3~0"
"Valladolid","0~1","1~0","2~3","0~1","0~2","2~1","0~0","1~1","2~2","1~0","1~0","2~4","2~1","1~4","0~2","1~1","0~2",NA,"0~1","0~0"
"Vallecano","1~5","1~1","0~1","2~3","1~1","4~2","1~0","2~2","1~2","0~2","0~0","1~2","2~1","1~0","1~4","2~2","2~0","1~2",NA,"2~2"
"Villarreal","1~2","1~1","1~1","4~4","2~1","2~3","1~0","2~2","1~2","0~1","1~1","2~1","1~1","2~2","3~0","1~2","0~0","0~1","3~1",NA
