"Home...Away","ALA","ATH","ATH","BAR","BET","CEL","EIB","ESP","GET","GRA","LEG","LEV","MAL","OSA","REA","SEV","SOC","VAL","VAL","VIL"
"Alaves",NA,"2~1","1~1","0~5","1~1","2~0","2~1","0~0","0~0","0~2","1~1","1~0","2~0","0~1","1~2","0~1","2~0","1~1","3~0","1~2"
"Ath Bilbao","2~0",NA,"1~1","1~0","1~0","1~1","0~0","3~0","0~2","2~0","0~2","2~1","3~1","0~1","0~1","1~2","2~0","0~1","1~1","1~0"
"Ath Madrid","2~1","2~0",NA,"0~1","1~0","0~0","3~2","3~1","1~0","1~0","0~0","2~1","3~0","2~0","0~0","2~2","1~1","1~1","1~0","3~1"
"Barcelona","4~1","1~0","2~2",NA,"5~2","4~1","5~0","1~0","2~1","1~0","2~0","2~1","5~2","1~2","0~0","4~0","1~0","5~2","5~1","2~1"
"Betis","1~2","3~2","1~2","2~3",NA,"2~1","1~1","1~0","1~1","2~2","2~1","3~1","3~3","3~0","2~1","1~2","3~0","2~1","1~2","0~2"
"Celta","6~0","1~0","1~1","2~2","1~1",NA,"0~0","1~1","0~1","0~2","1~0","2~3","2~2","1~1","1~3","2~1","0~1","1~0","0~0","0~1"
"Eibar","0~2","2~2","2~0","0~3","1~1","2~0",NA,"1~2","0~1","3~0","0~0","3~0","1~2","0~2","0~4","3~2","1~2","1~0","3~1","2~1"
"Espanol","2~0","1~1","1~1","2~2","2~2","0~0","0~2",NA,"1~1","0~3","0~1","1~3","1~0","2~4","0~1","0~2","1~3","1~2","0~2","0~1"
"Getafe","1~1","1~1","0~2","0~2","1~0","0~0","1~1","0~0",NA,"3~1","2~0","4~0","4~2","0~0","0~3","0~3","2~1","3~0","2~0","1~3"
"Granada","3~0","4~0","1~1","2~0","1~0","0~0","1~2","2~1","2~1",NA,"1~0","1~2","1~0","1~0","1~2","0~1","1~2","2~2","2~1","0~1"
"Leganes","1~1","1~1","0~1","1~2","0~0","3~2","1~2","2~0","0~3","0~0",NA,"1~2","1~0","0~1","2~2","0~3","2~1","1~0","1~2","0~3"
"Levante","0~1","1~2","0~1","3~1","4~2","3~1","0~0","0~1","1~0","1~1","2~0",NA,"2~1","1~1","1~0","1~1","1~1","2~4","2~0","2~1"
"Mallorca","1~0","0~0","0~2","0~4","1~2","5~1","2~1","2~0","0~1","1~2","1~1","2~0",NA,"2~2","1~0","0~2","0~1","4~1","0~1","3~1"
"Osasuna","4~2","1~2","0~5","2~2","0~0","2~1","0~0","1~0","0~0","0~3","2~1","2~0","2~2",NA,"1~4","1~1","3~4","3~1","0~0","2~1"
"Real Madrid","2~0","0~0","1~0","2~0","0~0","2~2","3~1","2~0","1~0","4~2","5~0","3~2","2~0","2~0",NA,"2~1","3~1","3~0","1~1","2~1"
"Sevilla","1~1","1~1","1~1","0~0","2~0","1~1","1~0","2~2","2~0","2~0","1~0","1~0","2~0","3~2","0~1",NA,"3~2","1~0","1~1","1~2"
"Sociedad","3~0","2~1","2~0","2~2","3~1","0~1","4~1","2~1","1~2","2~3","1~1","1~2","3~0","1~1","1~2","0~0",NA,"3~0","1~0","1~2"
"Valencia","2~1","0~2","2~2","2~0","2~1","1~0","1~0","1~0","3~3","2~0","1~1","1~1","2~0","2~0","1~1","1~1","1~1",NA,"2~1","2~1"
"Valladolid","1~0","1~4","0~0","0~1","2~0","0~0","2~0","2~1","1~1","1~1","2~2","0~0","3~0","1~1","0~1","0~1","0~0","1~1",NA,"1~1"
"Villarreal","4~1","0~0","0~0","1~4","5~1","1~3","4~0","1~2","1~0","4~4","1~2","2~1","1~0","3~1","2~2","2~2","1~2","2~0","2~0",NA
