"Home...Away","ALA","ATH","ATH","BAR","BET","CAD","CEL","EIB","ELC","GET","GRA","HUE","LEV","OSA","REA","SEV","SOC","VAL","VAL","VIL"
"Alaves",NA,"1~0","1~2","1~1","0~1","1~1","1~3","2~1","0~2","0~0","4~2","1~0","2~2","0~1","1~4","1~2","0~0","2~2","1~0","2~1"
"Ath Bilbao","0~0",NA,"2~1","2~3","4~0","0~1","0~2","1~1","1~0","5~1","2~1","2~0","2~0","2~2","0~1","2~1","0~1","1~1","2~2","1~1"
"Ath Madrid","1~0","2~1",NA,"1~0","2~0","4~0","2~2","5~0","3~1","1~0","6~1","2~0","0~2","2~1","1~1","2~0","2~1","3~1","2~0","0~0"
"Barcelona","5~1","2~1","0~0",NA,"5~2","1~1","1~2","1~1","3~0","5~2","1~2","4~1","1~0","4~0","1~3","1~1","2~1","2~2","1~0","4~0"
"Betis","3~2","0~0","1~1","2~3",NA,"1~0","2~1","0~2","3~1","1~0","2~1","1~0","2~0","1~0","2~3","1~1","0~3","2~2","2~0","1~1"
"Cadiz","3~1","0~4","2~4","2~1","0~1",NA,"0~0","1~0","1~3","0~2","1~1","2~1","2~2","0~2","0~3","1~3","0~1","2~1","0~0","0~0"
"Celta","2~0","0~0","0~2","0~3","2~3","4~0",NA,"1~1","3~1","1~0","3~1","2~1","2~0","2~1","1~3","3~4","1~4","2~1","1~1","0~4"
"Eibar","3~0","1~2","1~2","0~1","1~1","0~2","0~0",NA,"0~1","0~0","2~0","1~1","0~1","0~0","1~3","0~2","0~1","0~0","1~1","1~3"
"Elche","0~2","2~0","0~1","0~2","1~1","1~1","1~1","1~0",NA,"1~3","0~1","0~0","1~0","2~2","1~1","2~1","0~3","2~1","1~1","2~2"
"Getafe","0~0","1~1","0~0","1~0","3~0","0~1","1~1","0~1","1~1",NA,"0~1","1~0","2~1","1~0","0~0","0~1","0~1","3~0","0~1","1~3"
"Granada","2~1","2~0","1~2","0~4","2~0","0~1","0~0","4~1","2~1","0~0",NA,"3~3","1~1","2~0","1~4","1~0","1~0","2~1","1~3","0~3"
"Huesca","1~0","1~0","0~0","0~1","0~2","0~2","3~4","1~1","3~1","0~2","3~2",NA,"1~1","0~0","1~2","0~1","1~0","0~0","2~2","0~0"
"Levante","1~1","1~1","1~1","3~3","4~3","2~2","1~1","2~1","1~1","3~0","2~2","0~2",NA,"0~1","0~2","0~1","2~1","1~0","2~2","1~5"
"Osasuna","1~1","1~0","1~3","0~2","0~2","3~2","2~0","2~1","2~0","0~0","3~1","1~1","1~3",NA,"0~0","0~2","0~1","3~1","0~0","1~3"
"Real Madrid","1~2","3~1","2~0","2~1","0~0","0~1","2~0","2~0","2~1","2~0","2~0","4~1","1~2","2~0",NA,"2~2","1~1","2~0","1~0","2~1"
"Sevilla","1~0","0~1","1~0","0~2","1~0","3~0","4~2","0~1","2~0","3~0","2~1","1~0","1~0","1~0","0~1",NA,"3~2","1~0","1~1","2~0"
"Sociedad","4~0","1~1","0~2","1~6","2~2","4~1","2~1","1~1","2~0","3~0","2~0","4~1","1~0","1~1","0~0","1~2",NA,"0~1","4~1","1~1"
"Valencia","1~1","2~2","0~1","2~3","0~2","1~1","2~0","4~1","1~0","2~2","2~1","1~1","4~2","1~1","4~1","0~1","2~2",NA,"3~0","2~1"
"Valladolid","0~2","2~1","1~2","0~3","1~1","1~1","1~1","1~2","2~2","2~1","1~2","1~3","1~1","3~2","0~1","1~1","1~1","0~1",NA,"0~2"
"Villarreal","3~1","1~1","0~2","1~2","1~2","2~1","2~4","2~1","0~0","1~0","2~2","1~1","2~1","1~2","1~1","4~0","1~1","2~1","2~0",NA
