"Home...Away","ALA","ATH","ATH","BAR","BET","CAD","CEL","ELC","ESP","GET","GRA","LEV","MAL","OSA","REA","SEV","SOC","VAL","VAL","VIL"
"Alaves",NA,"0~0","1~0","0~1","0~1","0~1","1~2","1~0","2~1","1~1","2~3","2~1","0~1","0~2","1~4","0~0","1~1","2~1","1~0","2~1"
"Ath Bilbao","1~0",NA,"2~0","1~1","3~2","0~1","0~2","2~1","2~1","1~1","2~2","3~1","2~0","2~0","1~2","0~1","4~0","0~0","1~2","2~1"
"Ath Madrid","4~1","0~0",NA,"2~0","3~0","2~1","2~0","1~0","2~1","4~3","0~0","0~1","1~2","1~0","1~0","1~1","2~2","3~2","2~0","2~2"
"Barcelona","1~1","4~0","4~2",NA,"0~1","0~1","3~1","3~2","1~0","2~1","1~1","3~0","2~1","4~0","1~2","1~0","4~2","3~1","0~1","0~2"
"Betis","4~0","1~0","1~3","1~2",NA,"1~1","0~2","0~1","2~2","2~0","2~0","3~1","2~1","4~1","0~1","0~2","4~0","4~1","3~2","0~2"
"Cadiz","0~2","2~3","1~4","0~0","1~2",NA,"0~0","3~0","2~2","1~1","1~1","1~1","1~1","2~3","1~1","0~1","0~2","0~0","2~0","1~0"
"Celta","4~0","0~1","1~2","3~3","0~0","1~2",NA,"1~0","3~1","0~2","1~0","1~1","4~3","2~0","1~2","0~1","0~2","1~2","2~0","1~1"
"Elche","3~1","0~0","0~2","1~2","0~3","3~1","1~0",NA,"2~2","3~1","0~0","1~1","3~0","1~1","1~2","1~1","1~2","0~1","2~1","1~0"
"Espanol","1~0","1~1","1~2","2~2","1~4","2~0","1~0","1~2",NA,"2~0","2~0","4~3","1~0","1~1","2~1","1~1","1~0","1~1","0~1","0~0"
"Getafe","2~2","0~0","1~2","0~0","0~0","4~0","0~3","0~1","2~1",NA,"4~2","3~0","1~0","1~0","1~0","0~1","1~1","0~0","0~0","1~2"
"Granada","2~1","1~0","2~1","1~1","1~2","0~0","1~1","0~1","0~0","1~1",NA,"1~4","4~1","0~2","1~4","1~0","2~3","1~1","2~2","1~4"
"Levante","3~1","0~0","2~2","2~3","2~4","0~2","0~2","3~0","1~1","0~0","0~3",NA,"2~0","0~0","3~3","2~3","2~1","3~4","1~1","2~0"
"Mallorca","2~1","3~2","1~0","0~1","1~1","2~1","0~0","2~2","1~0","0~0","2~6","1~0",NA,"2~3","0~3","1~1","0~2","0~1","2~1","0~0"
"Osasuna","1~0","1~3","0~3","2~2","1~3","2~0","0~0","1~1","0~0","1~1","1~1","3~1","0~2",NA,"1~3","0~0","0~2","1~4","1~0","1~0"
"Real Madrid","3~0","1~0","2~0","0~4","0~0","0~0","5~2","2~2","4~0","2~0","1~0","6~0","6~1","0~0",NA,"2~1","4~1","4~1","2~1","0~0"
"Sevilla","2~2","1~0","2~1","1~1","2~1","1~1","2~2","2~0","2~0","1~0","4~2","5~3","0~0","2~0","2~3",NA,"0~0","3~1","3~0","1~0"
"Sociedad","1~0","1~1","1~2","0~1","0~0","3~0","1~0","1~0","1~0","0~0","2~0","1~0","1~0","1~0","0~2","0~0",NA,"0~0","1~0","1~3"
"Valencia","3~0","1~1","3~3","1~4","0~3","0~0","2~0","2~1","1~2","1~0","3~1","1~1","2~2","1~2","1~2","1~1","0~0",NA,"1~1","2~0"
"Vallecano","2~0","0~1","0~1","1~0","1~1","3~1","0~0","2~1","1~0","3~0","4~0","2~4","3~1","0~3","0~1","1~1","1~1","1~1",NA,"1~5"
"Villarreal","5~2","1~1","2~2","1~3","2~0","3~3","1~0","4~1","5~1","1~0","0~0","5~0","3~0","1~2","0~0","1~1","1~2","2~0","2~0",NA
