"Home...Away","ALM","ATH","ATH","BAR","BET","CAD","CEL","ELC","ESP","GET","GIR","MAL","OSA","REA","SEV","SOC","VAL","VAL","VAL","VIL"
"Almeria",NA,"1~2","1~1","1~0","2~3","1~1","3~1","2~1","3~1","1~0","3~2","3~0","0~1","1~2","2~1","0~2","2~1","0~0","3~1","0~2"
"Ath Bilbao","4~0",NA,"0~1","0~1","0~1","4~1","2~1","0~1","0~1","0~0","2~3","0~0","0~0","0~2","0~1","2~0","1~0","3~0","3~2","1~0"
"Ath Madrid","2~1","1~0",NA,"0~1","1~0","5~1","4~1","2~0","1~1","1~1","2~1","3~1","3~0","1~2","6~1","2~1","3~0","3~0","1~1","0~2"
"Barcelona","2~0","4~0","1~0",NA,"4~0","2~0","1~0","3~0","1~1","1~0","0~0","3~0","1~0","2~1","3~0","1~2","1~0","4~0","0~0","3~0"
"Betis","3~1","0~0","1~2","1~2",NA,"0~2","3~4","3~0","3~1","0~1","2~1","1~0","1~0","0~0","1~1","0~0","1~1","2~1","3~1","1~0"
"Cadiz","1~1","0~4","3~2","0~4","0~0",NA,"1~0","1~1","2~2","2~2","2~0","2~0","0~1","0~2","0~2","0~1","2~1","2~0","1~0","0~0"
"Celta","2~2","1~0","0~1","2~1","1~0","3~0",NA,"1~0","2~2","1~1","1~1","0~1","1~2","1~4","1~1","1~2","1~2","3~0","3~0","1~1"
"Elche","1~1","1~4","1~0","0~4","2~3","1~1","0~1",NA,"0~1","0~1","1~2","1~1","1~1","0~3","1~1","0~1","0~2","1~1","4~0","3~1"
"Espanol","3~3","1~2","3~3","2~4","1~0","0~0","1~3","2~2",NA,"1~0","2~2","2~1","1~1","1~3","2~3","2~3","2~2","1~0","0~2","0~1"
"Getafe","1~2","2~2","0~3","0~0","0~1","0~0","1~0","1~1","1~2",NA,"3~2","2~0","2~1","0~1","2~0","2~1","1~0","2~3","1~1","0~0"
"Girona","6~2","2~1","0~1","0~1","1~2","1~1","0~1","2~0","2~1","3~1",NA,"2~1","1~1","4~2","2~1","3~5","1~0","2~1","2~2","1~2"
"Mallorca","1~0","1~1","1~0","0~1","1~2","1~0","1~0","0~1","1~1","3~1","1~1",NA,"0~0","1~0","0~1","1~1","1~0","1~0","3~0","4~2"
"Osasuna","3~1","2~0","0~1","1~2","3~2","2~0","0~0","2~1","1~0","0~2","2~1","1~0",NA,"0~2","2~1","0~2","1~2","2~0","2~1","0~3"
"Real Madrid","4~2","1~1","1~1","3~1","2~1","2~1","2~0","4~0","3~1","1~0","1~1","4~1","1~1",NA,"3~1","0~0","2~0","6~0","2~1","2~3"
"Sevilla","2~1","1~1","0~2","0~3","0~0","1~0","2~2","3~0","3~2","2~1","0~2","2~0","2~3","1~2",NA,"1~2","1~1","1~1","0~1","2~1"
"Sociedad","1~0","3~1","1~1","1~4","0~2","0~0","1~1","2~0","2~1","2~0","2~2","1~0","2~0","2~0","2~1",NA,"1~1","0~1","2~1","1~0"
"Valencia","2~2","1~2","0~1","0~1","3~0","0~1","3~0","2~2","2~2","5~1","1~0","1~2","1~0","1~0","0~2","1~0",NA,"2~1","1~1","1~1"
"Valladolid","1~0","1~3","2~5","3~1","0~0","0~1","4~1","2~1","2~1","0~0","1~0","3~3","0~0","0~2","0~3","1~0","1~0",NA,"0~1","0~3"
"Vallecano","2~0","0~0","1~2","2~1","1~2","5~1","0~0","2~1","1~2","0~0","2~2","0~2","2~1","3~2","1~1","0~2","2~1","2~1",NA,"2~1"
"Villarreal","2~1","5~1","2~2","0~1","1~1","2~0","3~1","4~0","4~2","2~1","1~0","0~2","2~0","2~1","1~1","2~0","2~1","1~2","0~1",NA
