"Home...Away","ALA","ALM","ATH","ATH","BAR","BET","CAD","CEL","GET","GIR","GRA","LAS","MAL","OSA","REA","SEV","SOC","VAL","VAL","VIL"
"Alaves",NA,"1~0","0~2","2~0","1~3","1~1","1~0","3~0","1~0","2~2","3~1","0~1","1~1","0~2","0~1","4~3","0~1","1~0","1~0","1~1"
"Almeria","0~3",NA,"0~0","2~2","0~2","0~0","6~1","2~3","1~3","0~0","3~3","1~2","0~0","0~3","1~3","2~2","1~3","2~2","0~2","1~2"
"Ath Bilbao","2~0","3~0",NA,"2~0","0~0","4~2","3~0","4~3","2~2","3~2","1~1","1~0","4~0","2~2","0~2","2~0","2~1","2~2","4~0","1~1"
"Ath Madrid","2~1","2~1","3~1",NA,"0~3","2~1","3~2","1~0","3~3","3~1","3~1","5~0","1~0","1~4","3~1","1~0","2~1","2~0","2~1","3~1"
"Barcelona","2~1","3~2","1~0","1~0",NA,"5~0","2~0","3~2","4~0","2~4","3~3","1~0","1~0","1~0","1~2","1~0","2~0","4~2","3~0","3~5"
"Betis","0~0","3~2","3~1","0~0","2~4",NA,"1~1","2~1","1~1","1~1","1~0","1~0","2~0","2~1","1~1","1~1","0~2","3~0","1~0","2~3"
"Cadiz","1~0","1~1","0~0","2~0","0~1","0~2",NA,"2~2","1~0","0~1","1~0","0~0","1~1","1~1","0~3","2~2","0~0","1~4","0~0","3~1"
"Celta","1~1","1~0","2~1","0~3","1~2","2~1","1~1",NA,"2~2","0~1","1~0","4~1","0~1","0~2","0~1","1~1","0~1","2~2","0~0","3~2"
"Getafe","1~0","2~1","0~2","0~3","0~0","1~1","1~0","3~2",NA,"1~0","2~0","3~3","1~2","3~2","0~2","0~1","1~1","1~0","0~2","0~0"
"Girona","3~0","5~2","1~1","4~3","4~2","3~2","4~1","1~0","3~0",NA,"7~0","1~0","5~3","2~0","0~3","5~1","0~0","2~1","3~0","0~1"
"Granada","2~0","1~1","1~1","0~1","2~2","1~1","2~0","1~2","1~1","2~4",NA,"1~1","3~2","3~0","0~4","0~3","2~3","0~1","0~2","2~3"
"Las Palmas","1~1","0~1","0~2","2~1","1~2","2~2","1~1","2~1","2~0","0~2","1~0",NA,"1~1","1~1","1~2","0~2","0~0","2~0","0~1","3~0"
"Mallorca","0~0","2~2","0~0","0~1","2~2","0~1","1~1","1~1","0~0","1~0","1~0","1~0",NA,"3~2","0~1","1~0","1~2","1~1","2~1","0~1"
"Osasuna","1~0","1~0","0~2","0~2","1~2","0~2","2~0","0~3","3~2","2~4","2~0","1~1","1~1",NA,"2~4","0~0","1~1","0~1","1~0","1~1"
"Real Madrid","5~0","3~2","2~0","1~1","3~2","0~0","3~0","4~0","2~1","4~0","2~0","2~0","1~0","4~0",NA,"1~0","2~1","5~1","0~0","4~1"
"Sevilla","2~3","5~1","0~2","1~0","1~2","1~1","0~1","1~2","0~3","1~2","3~0","1~0","2~1","1~1","1~1",NA,"3~2","1~2","2~2","1~1"
"Sociedad","1~1","2~2","3~0","0~2","0~1","0~0","2~0","1~1","4~3","1~1","5~3","2~0","1~0","0~1","0~1","2~1",NA,"1~0","0~0","1~3"
"Valencia","0~1","2~1","1~0","3~0","1~1","1~2","2~0","0~0","1~0","1~3","1~0","1~0","0~0","1~2","2~2","0~0","0~1",NA,"0~0","3~1"
"Vallecano","2~0","0~1","0~1","0~7","1~1","2~0","1~1","0~0","0~0","1~2","2~1","0~2","2~2","2~1","1~1","1~2","2~2","0~1",NA,"1~1"
"Villarreal","1~1","2~1","2~3","1~2","3~4","1~2","0~0","3~2","1~1","1~2","5~1","1~2","1~1","3~1","4~4","3~2","0~3","1~0","3~0",NA
