"Home...Away","BAS","BOR","CAE","EVI","GUI","LEN","LIL","LOR","LYO","MAR","MET","MON","MON","NAN","NIC","PAR","REI","REN","ST ","TOU"
"Bastia",NA,"0~0","1~1","1~2","0~0","1~1","2~1","0~2","0~0","3~3","2~0","1~3","2~0","0~0","2~1","4~2","1~2","2~0","1~0","1~0"
"Bordeaux","1~1",NA,"1~1","2~1","1~1","2~1","1~0","3~2","0~5","1~0","1~1","4~1","2~1","2~1","1~2","3~2","1~1","2~1","1~0","2~1"
"Caen","1~1","1~2",NA,"3~2","0~2","4~1","0~1","2~1","3~0","1~2","0~0","0~3","1~1","1~2","2~3","0~2","4~1","0~1","1~0","2~0"
"Evian Thonon Gaillard","1~2","0~1","0~3",NA,"2~0","2~1","0~1","1~0","2~3","1~3","3~0","1~3","1~0","0~2","1~0","0~0","2~3","1~1","1~2","1~0"
"Guingamp","1~0","2~1","5~1","1~1",NA,"2~0","0~1","3~2","1~3","0~1","0~1","1~0","0~2","0~1","2~7","1~0","2~0","0~1","0~2","2~1"
"Lens","1~1","1~2","0~0","0~2","0~1",NA,"1~1","0~0","0~2","0~4","2~0","0~3","0~1","1~0","2~0","1~3","4~2","0~1","0~1","1~0"
"Lille","1~0","2~0","1~0","1~0","1~2","3~1",NA,"2~0","2~1","0~4","0~0","0~1","0~0","2~0","0~0","1~1","3~1","3~0","1~1","3~0"
"Lorient","2~0","0~0","2~1","0~2","4~0","1~0","1~0",NA,"1~1","1~1","3~1","0~1","0~0","1~2","0~0","1~2","0~1","0~3","0~1","0~1"
"Lyon","2~0","1~1","3~0","2~0","3~1","0~1","3~0","4~0",NA,"1~0","2~0","2~1","5~1","1~0","1~2","1~1","2~1","2~0","2~2","3~0"
"Marseille","3~0","3~1","2~3","1~0","2~1","2~1","2~1","3~5","0~0",NA,"3~1","2~1","0~2","2~0","4~0","2~3","2~2","3~0","2~1","2~0"
"Metz","3~1","0~0","3~2","1~2","0~2","3~1","1~4","0~4","2~1","0~2",NA,"0~1","2~3","1~1","0~0","2~3","3~0","0~0","2~3","3~2"
"Monaco","3~0","0~0","2~2","2~0","1~0","2~0","1~1","1~2","0~0","1~0","2~0",NA,"0~0","1~0","0~1","0~0","1~1","1~1","1~1","4~1"
"Montpellier","3~1","0~1","1~0","2~0","2~1","3~3","1~2","1~0","1~5","2~1","2~0","0~1",NA,"4~0","2~1","1~2","3~1","0~0","0~2","2~0"
"Nantes","0~2","2~1","1~2","2~1","1~0","1~0","1~1","1~1","1~1","1~0","0~0","0~1","1~0",NA,"2~1","0~2","1~1","1~1","0~0","1~2"
"Nice","0~1","1~3","1~1","2~2","1~2","2~1","1~0","3~1","1~3","2~1","1~0","0~1","1~1","0~0",NA,"1~3","0~0","1~2","0~0","3~2"
"Paris SG","2~0","3~0","2~2","4~2","6~0","4~1","6~1","3~1","1~1","2~0","3~1","1~1","0~0","2~1","1~0",NA,"3~2","1~0","5~0","3~1"
"Reims","2~1","1~0","0~2","3~2","2~3","0~0","2~0","1~3","2~4","0~5","0~0","1~3","1~0","3~1","0~1","2~2",NA,"1~0","1~2","2~0"
"Rennes","0~1","1~1","1~4","6~2","1~0","2~0","2~0","1~0","0~1","1~1","1~0","2~0","0~4","0~0","2~1","1~1","1~3",NA,"0~0","0~3"
"St Etienne","1~0","1~1","1~0","3~0","2~1","3~3","2~0","2~0","3~0","2~2","1~0","1~1","1~0","1~0","5~0","0~1","3~1","0~0",NA,"0~1"
"Toulouse","1~1","2~1","3~3","1~0","1~1","0~2","3~2","2~3","2~1","1~6","3~0","0~2","1~0","1~1","2~3","1~1","1~0","2~1","1~1",NA
