"Home...Away","ANG","BAS","BOR","CAE","DIJ","GUI","LIL","LOR","LYO","MAR","MET","MON","MON","NAN","NAN","NIC","PAR","REN","ST ","TOU"
"Angers",NA,"3~0","1~1","2~1","3~1","3~0","1~0","2~2","1~2","1~1","2~1","0~1","2~0","1~0","0~2","0~1","0~2","0~0","1~2","0~0"
"Bastia","1~2",NA,"1~1","1~1","0~0","1~0","0~1","2~0","0~3","1~2","2~0","1~1","1~1","0~0","2~2","1~1","0~1","1~0","0~0","2~1"
"Bordeaux","0~1","2~0",NA,"0~0","3~2","3~0","0~1","2~1","1~1","1~1","3~0","0~4","5~1","1~1","1~0","0~0","0~3","1~1","3~2","1~0"
"Caen","2~3","2~0","0~4",NA,"3~3","1~1","0~1","3~2","3~2","1~5","3~0","0~3","0~2","1~0","0~2","1~0","0~6","0~1","0~2","1~0"
"Dijon","3~2","1~2","0~0","2~0",NA,"3~3","0~0","1~0","4~2","1~2","0~0","1~1","3~3","2~0","0~1","0~1","1~3","3~0","0~1","2~0"
"Guingamp","1~0","5~0","1~1","0~1","4~0",NA,"1~0","1~0","2~1","2~1","1~0","1~2","1~1","1~0","2~0","0~1","2~1","1~1","0~2","2~1"
"Lille","1~2","2~1","2~3","4~2","1~0","3~0",NA,"0~1","0~1","0~0","0~2","1~4","2~1","1~0","3~0","1~2","0~1","1~1","1~1","1~2"
"Lorient","1~1","0~3","1~1","1~0","2~3","3~1","1~0",NA,"1~0","1~4","5~1","0~3","2~2","0~2","1~2","0~1","1~2","2~1","2~1","1~1"
"Lyon","2~0","2~1","1~3","2~0","4~2","1~3","1~2","1~4",NA,"3~1","5~0","1~2","5~1","4~0","3~2","3~3","1~2","1~0","2~0","4~0"
"Marseille","3~0","1~0","0~0","1~0","1~1","2~0","2~0","2~0","0~0",NA,"1~0","1~4","5~1","3~0","2~1","2~1","1~5","2~0","4~0","0~0"
"Metz","2~0","1~0","0~3","2~2","2~1","2~2","3~2","3~3","0~3","1~0",NA,"0~7","2~0","2~1","1~1","2~4","2~3","1~1","0~0","1~1"
"Monaco","2~1","5~0","2~1","2~1","2~1","2~2","4~0","4~0","1~3","4~0","5~0",NA,"6~2","6~0","4~0","3~0","3~1","3~0","2~0","3~1"
"Montpellier","1~0","2~1","4~0","3~2","1~1","1~1","0~3","2~0","1~3","3~1","0~1","1~2",NA,"0~0","2~3","1~1","3~0","1~1","2~1","0~1"
"Nancy","2~0","1~0","0~2","2~0","1~0","0~2","1~2","2~3","0~3","0~0","4~0","0~3","0~3",NA,"1~1","0~1","1~2","3~0","3~1","0~0"
"Nantes","2~1","1~0","0~1","1~0","3~1","4~1","0~0","1~0","0~6","3~2","0~3","0~1","1~0","0~2",NA,"1~1","0~2","1~2","0~0","1~1"
"Nice","0~2","1~1","2~1","2~2","2~1","3~1","1~1","2~1","2~0","3~2","0~0","4~0","2~1","3~1","4~1",NA,"3~1","1~0","1~0","3~0"
"Paris SG","2~0","5~0","2~0","1~1","3~0","4~0","2~1","5~0","2~1","0~0","3~0","1~1","2~0","1~0","2~0","2~2",NA,"4~0","1~1","0~0"
"Rennes","1~1","1~2","1~1","2~0","1~1","1~0","2~0","1~0","1~1","3~2","1~0","2~3","1~0","2~0","1~1","2~2","0~1",NA,"2~0","1~0"
"St Etienne","2~1","1~0","2~2","0~1","1~1","1~0","3~1","4~0","2~0","0~0","2~2","1~1","3~1","0~0","1~1","0~1","0~5","1~1",NA,"0~0"
"Toulouse","4~0","4~1","4~1","0~1","0~0","2~1","1~1","3~2","1~2","0~0","1~2","3~1","1~0","1~1","0~1","1~1","2~0","0~0","0~3",NA
