"Home...Away","AMI","ANG","BOR","CAE","DIJ","GUI","LIL","LYO","MAR","MET","MON","MON","NAN","NIC","PAR","REN","ST ","STR","TOU","TRO"
"Amiens",NA,"0~2","1~0","3~0","2~1","3~1","3~0","1~2","0~2","2~0","1~1","1~1","0~1","3~0","2~2","0~2","0~2","3~1","0~0","1~1"
"Angers","1~0",NA,"2~2","3~0","2~1","3~0","1~1","3~3","1~1","0~1","0~4","1~1","0~2","1~1","0~5","1~2","0~1","1~1","0~1","3~1"
"Bordeaux","3~2","0~0",NA,"0~2","3~1","3~1","2~1","3~1","1~1","2~0","0~2","0~2","1~1","0~0","0~1","0~2","3~0","0~3","4~2","2~1"
"Caen","1~0","0~2","1~0",NA,"2~1","0~0","0~1","1~2","0~2","1~0","1~2","1~3","3~2","1~1","0~0","2~2","0~1","2~0","0~0","1~0"
"Dijon","1~1","2~1","3~2","2~0",NA,"3~1","3~0","2~5","1~3","1~1","1~4","2~1","1~0","3~2","1~2","2~1","0~1","1~1","3~1","3~1"
"Guingamp","1~1","1~1","2~1","0~0","4~0",NA,"1~0","0~2","3~3","2~2","3~1","0~0","0~3","2~5","0~3","2~0","2~1","2~0","1~1","4~0"
"Lille","0~1","1~2","0~0","0~2","2~1","2~2",NA,"2~2","0~1","3~1","0~4","1~1","3~0","1~1","0~3","1~2","3~1","2~1","1~0","2~2"
"Lyon","3~0","1~1","3~3","1~0","3~3","2~1","1~2",NA,"2~0","2~0","3~2","0~0","2~0","3~2","2~1","0~2","1~1","4~0","2~0","3~0"
"Marseille","2~1","1~1","1~0","5~0","3~0","1~0","5~1","2~3",NA,"6~3","2~2","0~0","1~1","2~1","2~2","1~3","3~0","2~0","2~0","3~1"
"Metz","0~2","1~2","0~4","1~1","1~2","1~3","0~3","0~5","0~3",NA,"0~1","0~1","1~1","2~1","1~5","1~1","3~0","3~0","1~1","0~1"
"Monaco","0~0","1~0","2~1","2~0","4~0","6~0","2~1","3~2","6~1","3~1",NA,"1~1","2~1","2~2","1~2","2~1","1~0","3~0","3~2","3~2"
"Montpellier","1~1","2~1","1~3","1~0","2~2","1~1","3~0","1~1","1~1","1~3","0~0",NA,"0~1","2~0","0~0","0~1","0~1","1~1","2~1","1~1"
"Nantes","0~1","1~0","0~1","1~0","1~1","2~1","2~2","0~0","0~1","1~0","1~0","0~2",NA,"1~2","0~1","1~1","0~3","1~0","2~1","1~0"
"Nice","1~0","2~2","1~0","4~1","1~0","2~0","2~1","0~5","2~4","3~1","4~0","1~0","1~1",NA,"1~2","1~1","1~0","1~2","0~1","1~2"
"Paris SG","2~0","2~1","6~2","3~1","8~0","2~2","3~1","2~0","3~0","5~0","7~1","4~0","4~1","3~0",NA,"0~2","3~0","5~2","6~2","2~0"
"Rennes","2~0","1~0","1~0","0~1","2~2","0~1","1~0","1~2","0~3","1~2","1~1","1~1","2~1","0~1","1~4",NA,"1~1","2~1","2~1","2~0"
"St Etienne","3~0","1~1","1~3","2~1","2~2","2~0","5~0","0~5","2~2","3~1","0~4","0~1","1~1","1~0","1~1","2~2",NA,"2~2","2~0","2~1"
"Strasbourg","0~1","2~2","0~2","0~0","3~2","0~2","3~0","3~2","3~3","2~2","1~3","0~0","1~2","1~1","2~1","2~1","0~1",NA,"2~1","2~1"
"Toulouse","1~0","2~0","0~1","2~0","0~1","2~1","2~3","1~2","1~2","0~0","3~3","1~0","1~1","1~2","0~1","3~2","0~0","2~2",NA,"1~0"
"Troyes","1~0","3~0","0~1","3~1","0~0","0~1","1~0","0~5","2~3","1~0","0~3","0~1","0~1","0~2","0~2","1~1","2~1","3~0","0~0",NA
