"Home...Away","AMI","ANG","BOR","CAE","DIJ","GUI","LIL","LYO","MAR","MON","MON","NAN","NIC","NIM","PAR","REI","REN","ST ","STR","TOU"
"Amiens",NA,"0~0","0~0","1~0","1~0","2~1","2~3","0~1","1~3","0~2","1~2","1~2","1~0","2~1","0~3","4~1","2~1","2~2","0~0","0~0"
"Angers","0~0",NA,"1~2","1~1","1~0","0~1","1~0","1~2","1~1","2~2","1~0","1~0","3~0","3~4","1~2","1~1","3~3","1~1","2~2","0~0"
"Bordeaux","1~1","0~1",NA,"0~0","1~0","0~0","1~0","2~3","2~0","2~1","1~2","3~0","0~1","3~3","2~2","0~1","1~1","3~2","0~2","2~1"
"Caen","1~0","0~1","0~1",NA,"1~0","0~0","1~3","2~2","0~1","0~1","2~2","0~1","1~1","1~2","1~2","3~2","1~2","0~5","0~0","2~1"
"Dijon","0~0","1~3","0~0","0~2",NA,"2~1","1~2","0~3","1~2","2~0","1~1","2~0","0~1","0~4","0~4","1~1","3~2","0~1","2~1","2~1"
"Guingamp","1~2","1~0","1~3","0~0","1~0",NA,"0~2","2~4","1~3","1~1","1~1","0~0","0~0","2~2","1~3","0~1","2~1","0~1","1~1","1~2"
"Lille","2~1","5~0","1~0","1~0","1~0","3~0",NA,"2~2","3~0","0~1","0~0","2~1","4~0","5~0","5~1","1~1","3~1","3~1","0~0","1~2"
"Lyon","2~0","2~1","1~1","4~0","1~3","2~1","2~2",NA,"4~2","3~0","3~2","1~1","0~1","2~0","2~1","1~1","0~2","1~0","2~0","5~1"
"Marseille","2~0","2~2","1~0","2~0","2~0","4~0","1~2","0~3",NA,"1~1","1~0","1~2","1~0","2~1","0~2","0~0","2~2","2~0","3~2","4~0"
"Monaco","2~0","0~1","1~1","0~1","2~2","0~2","0~0","2~0","2~3",NA,"1~2","1~0","1~1","1~1","0~4","0~0","1~2","2~3","1~5","2~1"
"Montpellier","1~1","2~2","2~0","2~0","1~2","2~0","0~1","1~1","3~0","2~2",NA,"1~1","1~0","3~0","3~2","2~4","2~2","0~0","1~1","2~1"
"Nantes","3~2","1~1","1~0","1~1","3~0","5~0","2~3","2~1","3~2","1~3","2~0",NA,"1~2","2~4","3~2","0~0","0~1","1~1","0~1","4~0"
"Nice","1~0","0~0","1~0","0~1","0~4","3~0","2~0","1~0","0~1","2~0","1~0","1~1",NA,"2~0","0~3","0~1","2~1","1~1","1~0","1~1"
"Nimes","3~0","3~1","2~1","2~0","2~0","0~0","2~3","2~3","3~1","1~0","1~1","1~0","0~1",NA,"2~4","0~0","3~1","1~1","2~2","0~1"
"Paris SG","5~0","3~1","1~0","3~0","4~0","9~0","2~1","5~0","3~1","3~1","5~1","1~0","1~1","3~0",NA,"4~1","4~1","4~0","2~2","1~0"
"Reims","2~2","1~1","0~0","2~2","0~0","2~1","1~1","1~0","2~1","1~0","0~1","1~0","1~1","0~3","3~1",NA,"2~0","0~2","2~1","0~1"
"Rennes","1~0","1~0","2~0","3~1","2~0","1~1","3~1","0~1","1~1","2~2","0~0","1~1","0~0","4~0","1~3","0~2",NA,"3~0","1~4","1~1"
"St Etienne","0~0","4~3","3~0","2~1","3~0","2~1","0~1","1~2","2~1","2~0","0~1","3~0","3~0","2~1","0~1","2~0","1~1",NA,"2~1","2~0"
"Strasbourg","3~1","1~2","1~0","2~2","3~0","3~3","1~1","2~2","1~1","2~1","1~3","2~3","2~0","0~1","1~1","4~0","0~2","1~1",NA,"1~1"
"Toulouse","0~1","0~0","2~1","1~1","2~2","1~0","0~0","2~2","2~5","1~1","0~3","1~0","1~1","1~0","0~1","1~1","2~2","2~3","1~2",NA
