"Home...Away","AMI","ANG","BOR","BRE","DIJ","LIL","LYO","MAR","MET","MON","MON","NAN","NIC","NIM","PAR","REI","REN","ST ","STR","TOU"
"Amiens",NA,NA,"1~3","1~0","1~1","1~0","2~2","3~1","0~1","1~2","1~2","1~2",NA,NA,"4~4","1~1",NA,NA,"0~4","0~0"
"Angers","1~1",NA,"3~1","0~1","2~0","0~2",NA,"0~2","3~0","0~0","1~0","2~0","1~1","1~0",NA,"1~4",NA,"4~1","1~0",NA
"Bordeaux",NA,NA,NA,"2~2","2~2",NA,"1~2","0~0","2~0","2~1","1~1","2~0","1~1","6~0","0~1",NA,NA,"0~1","0~1",NA
"Brest","2~1","0~1","1~1",NA,"2~0",NA,"2~2",NA,"2~0",NA,NA,"1~1","0~0",NA,"1~2","1~0","0~0","3~2","5~0","1~1"
"Dijon",NA,NA,"0~2","3~0",NA,"1~0",NA,"0~0","2~2","1~1","2~2","3~3",NA,"0~0","2~1",NA,"2~1","1~2","1~0","2~1"
"Lille",NA,"2~1","3~0","1~0","1~0",NA,"1~0","1~2","0~0",NA,"2~1","2~1",NA,"2~2","0~2",NA,"1~0","3~0","2~0","3~0"
"Lyon","0~0","6~0","1~1",NA,"0~0","0~1",NA,NA,"2~0",NA,NA,"0~1","2~1",NA,"0~1",NA,"0~1","2~0","1~1","3~0"
"Marseille","2~2","0~0","3~1","2~1",NA,"2~1","2~1",NA,NA,NA,"1~1","1~3",NA,"3~1",NA,"0~2","1~1","1~0","2~0","1~0"
"Metz","1~2",NA,"1~2",NA,NA,NA,"0~2","1~1",NA,"3~0","2~2","1~0",NA,"2~1","0~2","1~1","0~1","3~1","1~0","2~2"
"Monaco","3~0","1~0",NA,"4~1","1~0","5~1","0~3","3~4",NA,NA,"1~0",NA,"3~1","2~2","1~4","1~1","3~2",NA,"1~3",NA
"Montpellier","4~2","0~0",NA,"4~0","2~1",NA,"1~0",NA,"1~1","3~1",NA,NA,"2~1","1~0","1~3",NA,"0~1","1~0","3~0","3~0"
"Nantes",NA,"1~2","0~1",NA,"1~0","0~1",NA,"0~0","0~0","0~1","1~0",NA,"1~0",NA,"1~2","1~0","1~0","2~3",NA,"2~1"
"Nice","2~1","3~1","1~1","2~2","2~1","1~1","2~1","1~2","4~1","2~1",NA,NA,NA,"1~3","1~4","2~0","1~1",NA,NA,"3~0"
"Nimes","1~1","1~0",NA,"3~0","2~0",NA,"0~4","2~3","1~1","3~1",NA,"0~1","1~2",NA,NA,"2~0","0~1","0~1",NA,"1~0"
"Paris SG","4~1","4~0","4~3",NA,"4~0","2~0","4~2","4~0",NA,"3~3","5~0","2~0",NA,"3~0",NA,"0~2",NA,NA,"1~0","4~0"
"Reims",NA,"0~0","1~1","1~0","1~2","2~0","1~1",NA,"0~1","0~0","1~0",NA,"1~1","0~0",NA,NA,"1~0","3~1","0~0",NA
"Rennes","3~1","2~1","1~0","0~0",NA,"1~1",NA,"0~1",NA,NA,"5~0","3~2","1~2","2~1","2~1","0~1",NA,"2~1",NA,"3~2"
"St Etienne","2~2",NA,"1~1","1~1",NA,NA,"1~0","0~2","0~1","1~0","0~0","0~2","4~1","2~1","0~4","1~1",NA,NA,NA,"2~2"
"Strasbourg","0~0",NA,NA,NA,NA,"1~2","1~2",NA,"1~1","2~2","1~0","2~1","1~0","4~1",NA,"3~0","0~2","2~1",NA,"4~2"
"Toulouse","2~0","0~2","1~3","2~5","1~0","2~1","2~3","0~2",NA,"1~2",NA,NA,"0~2",NA,NA,"0~1","0~2",NA,"0~1",NA
