"Home...Away","ANG","BOR","BRE","DIJ","LEN","LIL","LOR","LYO","MAR","MET","MON","MON","NAN","NIC","NIM","PAR","REI","REN","ST ","STR"
"Angers",NA,"0~2","3~2","3~0","2~2","1~2","2~0","0~1","2~1","1~1","0~1","1~1","1~3","0~3","3~1","0~1","1~0","0~3","0~1","0~2"
"Bordeaux","2~1",NA,"1~0","3~0","3~0","0~3","2~1","0~0","0~0","1~2","0~3","0~2","0~0","0~0","2~0","0~1","1~3","1~0","1~2","2~3"
"Brest","0~0","2~1",NA,"3~1","1~1","3~2","3~2","2~3","2~3","2~4","1~0","2~2","1~4","2~0","1~1","0~2","2~1","1~2","4~1","0~3"
"Dijon","0~1","1~3","0~2",NA,"0~1","0~2","0~0","0~1","0~0","1~5","0~1","2~2","0~4","2~0","0~2","0~4","0~1","1~1","0~0","1~1"
"Lens","1~3","2~1","2~1","2~1",NA,"0~3","4~1","1~1","2~2","2~2","0~0","2~3","1~1","0~1","2~1","1~0","4~4","0~0","2~0","0~1"
"Lille","1~2","2~1","0~0","1~0","4~0",NA,"4~0","1~1","2~0","1~0","2~1","1~1","2~0","2~0","1~2","0~0","2~1","1~1","0~0","1~1"
"Lorient","2~0","4~1","1~0","3~2","2~3","1~4",NA,"1~1","0~1","2~1","2~5","0~1","0~2","1~1","3~0","3~2","1~0","0~3","2~1","3~1"
"Lyon","3~0","2~1","2~2","4~1","3~2","2~3","4~1",NA,"1~1","0~1","4~1","1~2","3~0","2~3","0~0","2~4","3~0","1~0","2~1","3~0"
"Marseille","3~2","3~1","3~1","2~0","0~1","1~1","3~2","1~1",NA,"1~1","2~1","3~1","3~1","3~2","1~2","0~2","1~1","1~0","0~2","1~1"
"Metz","0~1","0~0","0~2","1~1","2~0","0~2","3~1","1~3","1~1",NA,"0~1","1~1","2~0","1~1","0~3","1~3","2~1","1~3","2~0","1~2"
"Monaco","3~0","4~0","2~0","3~0","0~3","0~0","2~2","2~3","3~1","4~0",NA,"1~1","2~1","2~1","3~0","3~2","2~2","2~1","2~2","3~2"
"Montpellier","4~1","3~1","0~0","4~2","1~2","2~3","1~1","2~1","3~3","0~2","2~3",NA,"1~1","3~1","0~1","1~3","0~4","2~1","1~2","4~3"
"Nantes","1~1","3~0","3~1","1~1","1~1","0~2","1~1","1~2","1~1","1~1","1~2","1~2",NA,"1~2","2~1","0~3","1~2","0~0","2~2","0~4"
"Nice","3~0","0~3","3~2","1~3","2~1","1~1","2~2","1~4","3~0","1~2","1~2","3~1","2~1",NA,"2~1","0~3","0~0","0~1","0~1","0~2"
"Nimes","1~5","2~0","4~0","1~3","1~1","0~1","1~0","2~5","0~2","0~1","3~4","1~1","1~1","0~2",NA,"0~4","2~2","2~4","0~2","1~1"
"Paris SG","6~1","2~2","3~0","4~0","2~1","0~1","2~0","0~1","0~1","1~0","0~2","4~0","1~2","2~1","3~0",NA,"4~0","3~0","3~2","4~0"
"Reims","0~0","1~2","1~0","0~0","1~1","0~1","1~3","1~1","1~3","0~0","0~1","0~0","3~2","0~0","0~1","0~2",NA,"2~2","3~1","2~1"
"Rennes","1~2","0~1","2~1","5~1","0~2","0~1","1~1","2~2","2~1","1~0","2~1","2~1","1~0","1~2","2~0","1~1","2~2",NA,"0~2","1~0"
"St Etienne","0~0","4~1","1~2","0~1","2~3","1~1","2~0","0~5","1~0","1~0","0~4","0~1","1~1","1~3","2~2","1~1","1~1","0~3",NA,"2~0"
"Strasbourg","0~0","0~2","2~2","1~0","1~2","0~3","1~1","2~3","0~1","2~2","1~0","2~3","1~2","0~2","5~0","1~4","0~1","1~1","1~0",NA
