"Home...Away","ANG","BOR","BRE","CLE","LEN","LIL","LOR","LYO","MAR","MET","MON","MON","NAN","NIC","PAR","REI","REN","ST ","STR","TRO"
"Angers",NA,"4~1","1~0","0~1","1~2","1~1","1~0","3~0","0~0","3~2","1~3","2~0","1~4","1~2","0~3","0~1","2~0","0~1","0~1","2~1"
"Bordeaux","1~1",NA,"1~2","0~2","2~3","2~3","0~0","2~2","0~1","3~1","1~1","0~2","1~1","0~1","2~3","3~2","1~1","2~2","4~3","0~2"
"Brest","1~1","2~4",NA,"2~0","4~0","2~0","0~1","2~1","1~4","1~2","2~0","0~4","1~1","0~3","2~4","1~1","1~1","1~0","0~1","5~1"
"Clermont","2~2","1~1","1~1",NA,"2~2","1~0","0~2","1~2","0~1","2~2","1~3","2~1","2~3","1~2","1~6","0~0","2~1","1~2","0~2","2~0"
"Lens","2~2","3~2","0~1","3~1",NA,"1~0","2~2","1~1","0~2","4~1","2~2","2~0","2~2","3~0","1~1","2~0","1~0","2~2","0~1","4~0"
"Lille","1~1","0~0","1~1","4~0","1~2",NA,"3~1","0~0","2~0","0~0","1~2","2~1","1~1","0~4","1~5","2~1","2~2","0~0","1~0","2~1"
"Lorient","0~0","1~1","1~2","1~1","2~0","2~1",NA,"1~4","0~3","1~0","1~0","0~1","0~1","1~0","1~1","1~2","0~2","6~2","0~0","1~1"
"Lyon","3~2","6~1","1~1","3~3","2~1","0~1","1~1",NA,"2~1","1~1","2~0","5~2","3~2","2~0","1~1","1~2","2~4","1~0","3~1","3~1"
"Marseille","5~2","2~2","1~2","0~2","2~3","1~1","4~1","0~3",NA,"0~0","0~1","2~0","3~2","2~1","0~0","1~1","2~0","3~1","4~0","1~0"
"Metz","1~0","3~3","0~1","1~1","0~0","3~3","4~1","3~2","1~2",NA,"1~2","1~3","0~0","0~2","1~2","1~1","0~3","1~1","0~2","0~2"
"Monaco","2~0","3~0","4~2","4~0","0~2","2~2","0~0","2~0","0~2","4~0",NA,"3~1","1~1","1~0","3~0","1~2","2~1","3~1","1~1","2~1"
"Montpellier","4~1","3~3","1~2","1~0","1~0","0~1","3~1","0~1","2~3","2~2","3~2",NA,"2~0","0~0","0~4","0~0","2~4","2~0","1~1","0~1"
"Nantes","1~1","5~3","3~1","2~1","3~2","0~1","4~2","0~1","0~1","2~0","0~0","2~0",NA,"0~2","3~1","1~0","2~1","1~1","2~2","2~0"
"Nice","1~0","4~0","2~1","0~1","2~1","1~3","2~1","3~2","1~1","0~1","2~2","0~1","2~1",NA,"1~0","0~0","1~1","4~2","0~3","1~0"
"Paris SG","2~1","3~0","2~0","4~0","1~1","2~1","5~1","2~1","2~1","5~0","2~0","2~0","3~1","0~0",NA,"4~0","1~0","3~1","4~2","2~2"
"Reims","1~2","5~0","1~1","1~0","1~2","2~1","0~0","0~0","0~1","0~1","0~0","3~3","3~1","2~3","0~2",NA,"2~3","2~0","1~1","1~2"
"Rennes","2~0","6~0","2~0","6~0","1~1","1~2","5~0","4~1","2~0","6~1","2~3","2~0","1~0","1~2","2~0","0~2",NA,"2~0","1~0","4~1"
"St Etienne","2~2","1~2","2~1","3~2","1~2","1~1","1~1","1~1","2~4","1~0","1~4","3~1","0~1","0~3","1~3","1~2","0~5",NA,"2~2","1~1"
"Strasbourg","0~2","5~2","3~1","1~0","1~0","1~2","4~0","1~1","0~2","3~0","1~0","3~1","1~0","0~0","3~3","1~1","2~1","5~1",NA,"1~1"
"Troyes","1~1","1~2","1~1","0~1","1~3","3~0","2~0","0~1","1~1","0~0","1~2","1~1","1~0","1~0","1~2","1~0","2~2","0~1","1~1",NA
