"Home...Away","AJA","ANG","AUX","BRE","CLE","LEN","LIL","LOR","LYO","MAR","MON","MON","NAN","NIC","PAR","REI","REN","STR","TOU","TRO"
"Ajaccio",NA,"1~0","0~3","0~0","1~3","0~0","1~3","0~1","0~2","1~0","0~2","0~1","0~2","0~1","0~3","0~1","0~5","4~2","0~0","2~1"
"Angers","1~2",NA,"1~1","1~3","1~2","1~2","1~0","1~2","1~3","0~3","1~2","2~1","0~0","1~1","1~2","2~4","1~2","2~3","0~2","2~1"
"Auxerre","1~0","2~2",NA,"1~1","1~1","1~3","1~1","1~3","2~1","0~2","2~3","0~2","2~1","1~1","1~2","0~0","0~0","1~0","0~5","1~0"
"Brest","0~1","4~0","1~0",NA,"2~1","1~1","0~0","1~2","2~4","1~1","1~2","0~7","2~0","1~0","1~2","0~0","1~2","1~1","3~1","2~1"
"Clermont","2~1","2~1","2~1","1~3",NA,"0~4","0~2","2~0","2~1","0~2","0~2","1~1","0~0","1~0","0~5","1~0","2~1","1~1","2~0","1~3"
"Lens","3~0","3~0","1~0","3~2","2~1",NA,"1~1","5~2","1~0","2~1","3~0","1~0","3~1","0~1","3~1","2~1","2~1","2~1","3~0","1~0"
"Lille","3~0","1~0","4~1","2~1","0~0","1~0",NA,"3~1","3~3","2~1","4~3","2~1","2~1","1~2","1~7","1~1","1~1","2~0","2~1","5~1"
"Lorient","3~0","0~0","0~1","2~1","2~1","1~3","2~1",NA,"3~1","0~0","2~2","0~2","3~2","1~2","1~2","0~0","2~1","2~1","0~1","2~0"
"Lyon","2~1","5~0","2~1","0~0","0~1","2~1","1~0","0~0",NA,"1~2","3~1","5~4","1~1","1~1","0~1","3~0","3~1","1~2","1~1","4~1"
"Marseille","1~2","3~1","2~1","1~2","1~0","0~1","2~1","3~1","1~0",NA,"1~1","1~1","2~1","1~3","0~3","4~1","1~1","2~2","6~1","3~1"
"Monaco","7~1","2~0","3~2","1~0","1~1","1~4","0~0","3~1","2~1","2~3",NA,"0~4","4~1","0~3","3~1","0~1","1~1","4~3","1~2","2~4"
"Montpellier","2~0","5~0","1~2","3~0","2~1","1~1","1~3","1~1","1~2","1~2","0~2",NA,"0~3","2~3","1~3","1~1","1~0","2~1","1~2","3~2"
"Nantes","2~2","1~0","1~0","4~1","1~1","0~0","1~1","1~0","0~0","0~2","2~2","0~3",NA,"2~2","0~3","0~3","0~1","0~2","3~1","2~2"
"Nice","3~0","0~1","1~1","1~0","1~2","0~0","1~0","1~1","3~1","0~3","0~1","6~1","1~1",NA,"0~2","0~0","2~1","1~1","0~0","3~2"
"Paris SG","5~0","2~0","5~0","1~0","2~3","3~1","4~3","1~3","0~1","1~0","1~1","5~2","4~2","2~1",NA,"1~1","0~2","2~1","2~1","4~3"
"Reims","1~0","2~2","2~1","1~1","2~4","1~1","1~0","4~2","1~1","1~2","0~3","1~3","1~0","0~0","0~0",NA,"3~1","0~2","3~0","4~0"
"Rennes","2~1","4~2","5~0","3~1","2~0","0~1","1~3","0~1","3~2","0~1","2~0","3~0","3~0","2~1","1~0","3~0",NA,"3~0","2~1","4~0"
"Strasbourg","3~1","2~1","2~0","0~1","0~0","2~2","0~3","1~1","1~2","2~2","1~2","2~0","1~1","2~0","1~1","1~1","1~3",NA,"1~2","2~3"
"Toulouse","2~0","3~2","1~1","1~1","0~1","0~1","0~2","2~2","1~2","2~3","0~2","4~2","0~0","1~1","0~3","1~0","3~1","2~2",NA,"4~1"
"Troyes","1~1","3~1","1~1","2~2","0~2","1~1","1~1","2~2","1~3","0~2","2~2","0~1","0~0","0~1","1~3","2~2","1~1","1~1","0~3",NA
