"Home...Away","BRE","CLE","LE ","LEN","LIL","LOR","LYO","MAR","MET","MON","MON","NAN","NIC","PAR","REI","REN","STR","TOU"
"Brest",NA,"3~0","1~0","3~2","1~1","4~0","1~0","1~0","4~3","0~2","2~0","0~0","0~0","2~3","1~1","0~0","1~1","1~1"
"Clermont","1~1",NA,"2~1","0~3","0~0","1~0","0~1","1~5","0~1","2~4","1~1","0~1","0~1","0~0","4~1","1~3","1~1","0~3"
"Le Havre","1~2","2~1",NA,"0~0","0~2","3~0","3~1","1~2","0~1","0~0","0~2","0~1","3~1","0~2","1~2","0~1","3~1","1~0"
"Lens","1~0","1~0","1~1",NA,"1~1","2~0","3~2","1~0","0~1","2~3","2~2","4~0","1~3","0~2","2~0","1~1","3~1","2~1"
"Lille","1~0","4~0","3~0","2~1",NA,"3~0","3~4","3~1","2~0","2~0","1~0","2~0","2~2","1~1","1~2","2~2","1~0","1~1"
"Lorient","0~1","5~0","3~3","0~0","4~1",NA,"0~2","2~4","2~3","2~2","0~3","0~1","1~1","1~4","2~0","2~1","1~2","1~2"
"Lyon","4~3","1~2","0~0","0~3","0~2","3~3",NA,"1~0","1~1","3~2","1~4","1~0","1~0","1~4","1~1","2~3","2~1","3~0"
"Marseille","2~0","2~1","3~0","2~1","0~0","3~1","3~0",NA,"1~1","2~2","4~1","2~0","2~2","0~2","2~1","2~0","1~1","0~0"
"Metz","0~1","1~0","0~0","2~1","1~2","1~2","1~2","2~2",NA,"2~5","0~1","3~1","0~1","0~2","2~2","2~3","0~1","0~1"
"Monaco","2~0","4~1","1~1","3~0","1~0","2~2","0~1","3~2","2~1",NA,"2~0","4~0","0~1","0~0","1~3","1~0","3~0","1~2"
"Montpellier","1~3","1~1","2~2","0~0","0~0","2~0","1~2","1~1","3~0","0~2",NA,"1~1","0~0","2~6","1~3","0~0","2~2","3~0"
"Nantes","0~2","1~2","0~0","0~1","1~2","5~3","1~3","1~1","0~2","3~3","2~0",NA,"1~0","0~2","0~1","0~3","1~3","1~2"
"Nice","0~0","0~0","1~0","2~0","1~1","3~0","0~0","1~0","1~0","2~3","1~2","1~2",NA,"1~2","2~1","2~0","2~0","1~0"
"Paris SG","2~2","1~1","3~3","3~1","3~1","0~0","4~1","4~0","3~1","5~2","3~0","2~1","2~3",NA,"2~2","1~1","3~0","1~3"
"Reims","1~2","2~0","1~0","1~1","0~1","1~0","2~0","1~0","2~1","1~3","1~2","0~0","0~0","0~3",NA,"2~1","2~1","2~3"
"Rennes","4~5","3~1","2~2","1~1","2~2","1~2","0~1","2~0","5~1","1~2","2~1","3~1","2~0","1~3","3~1",NA,"1~1","1~2"
"Strasbourg","0~3","0~0","2~1","0~1","2~1","1~3","2~1","1~1","2~1","0~1","2~2","1~2","1~3","1~2","3~1","2~0",NA,"2~0"
"Toulouse","0~3","2~2","1~2","0~2","3~1","1~1","2~3","2~2","3~0","1~2","1~2","1~2","2~1","1~1","1~1","0~0","0~0",NA
