"Home...Away","ATA","CAG","CES","CHI","EMP","FIO","GEN","INT","JUV","LAZ","MIL","NAP","PAL","PAR","ROM","SAM","SAS","TOR","UDI","VER"
"Atalanta",NA,"2~1","3~2","1~1","2~2","0~1","1~4","1~4","0~3","1~1","1~3","1~1","3~3","1~0","1~2","1~2","2~1","1~2","0~0","0~0"
"Cagliari","1~2",NA,"2~1","0~2","1~1","0~4","1~1","1~2","1~3","1~3","1~1","0~3","0~1","4~0","1~2","2~2","2~1","1~2","4~3","1~2"
"Cesena","2~2","0~1",NA,"0~1","2~2","1~4","0~3","0~1","2~2","2~1","1~1","1~4","0~0","1~0","0~1","1~1","2~3","2~3","1~0","1~1"
"Chievo","1~1","1~0","2~1",NA,"1~1","1~2","1~2","0~2","0~1","0~0","0~0","1~2","1~0","2~3","0~0","2~1","0~0","0~0","1~1","2~2"
"Empoli","0~0","0~4","2~0","3~0",NA,"2~3","1~1","0~0","0~2","2~1","2~2","4~2","3~0","2~2","0~1","1~1","3~1","0~0","1~2","0~0"
"Fiorentina","3~2","1~3","3~1","3~0","1~1",NA,"0~0","3~0","0~0","0~2","2~1","0~1","4~3","3~0","1~1","2~0","0~0","1~1","3~0","0~1"
"Genoa","2~2","2~0","3~1","0~2","1~1","1~1",NA,"3~2","1~0","1~0","1~0","1~2","1~1","2~0","0~1","0~1","3~3","5~1","1~1","5~2"
"Inter","2~0","1~4","1~1","0~0","4~3","0~1","3~1",NA,"1~2","2~2","0~0","2~2","3~0","1~1","2~1","1~0","7~0","0~1","1~2","2~2"
"Juventus","2~1","1~1","3~0","2~0","2~0","3~2","1~0","1~1",NA,"2~0","3~1","3~1","2~0","7~0","3~2","1~1","1~0","2~1","2~0","4~0"
"Lazio","3~0","4~2","3~0","1~1","4~0","4~0","0~1","1~2","0~3",NA,"3~1","0~1","2~1","4~0","1~2","3~0","3~2","2~1","0~1","2~0"
"Milan","0~1","3~1","2~0","2~0","1~1","1~1","1~3","1~1","0~1","3~1",NA,"2~0","0~2","3~1","2~1","1~1","1~2","3~0","2~0","2~2"
"Napoli","1~1","3~3","3~2","0~1","2~2","3~0","2~1","2~2","1~3","2~4","3~0",NA,"3~3","2~0","2~0","4~2","2~0","2~1","3~1","6~2"
"Palermo","2~3","5~0","2~1","1~0","0~0","2~3","2~1","1~1","0~1","0~4","1~2","3~1",NA,"2~1","1~1","1~1","2~1","2~2","1~1","2~1"
"Parma","0~0","0~0","1~2","0~1","0~2","1~0","1~2","2~0","1~0","1~2","4~5","2~2","1~0",NA,"1~2","0~2","1~3","0~2","1~0","2~2"
"Roma","1~1","2~0","2~0","3~0","1~1","2~0","2~0","4~2","1~1","2~2","0~0","1~0","1~2","0~0",NA,"0~2","2~2","3~0","2~1","2~0"
"Sampdoria","1~0","2~0","0~0","2~1","1~0","3~1","1~1","1~0","0~1","0~1","2~2","1~1","1~1","2~2","0~0",NA,"1~1","2~0","2~2","1~1"
"Sassuolo","0~0","1~1","1~1","1~0","3~1","1~3","3~1","3~1","1~1","0~3","3~2","0~1","0~0","4~1","0~3","0~0",NA,"1~1","1~1","2~1"
"Torino","0~0","1~1","5~0","2~0","0~1","1~1","2~1","0~0","2~1","0~2","1~1","1~0","2~2","1~0","1~1","5~1","0~1",NA,"1~0","0~1"
"Udinese","2~0","2~2","1~1","1~1","2~0","2~2","2~4","1~2","0~0","0~1","2~1","1~0","1~3","4~2","0~1","1~4","0~1","3~2",NA,"1~2"
"Verona","1~0","1~0","3~3","0~1","2~1","1~2","2~2","0~3","2~2","1~1","1~3","2~0","2~1","3~1","1~1","1~3","3~2","1~3","0~1",NA
