"Home...Away","ATA","BOL","CAR","CHI","EMP","FIO","FRO","GEN","INT","JUV","LAZ","MIL","NAP","PAL","ROM","SAM","SAS","TOR","UDI","VER"
"Atalanta",NA,"2~0","3~0","1~0","0~0","2~3","2~0","0~2","1~1","0~2","2~1","2~1","1~3","3~0","3~3","2~1","1~1","0~1","1~1","1~1"
"Bologna","3~0",NA,"0~0","0~1","2~3","1~1","1~0","2~0","0~1","0~0","2~2","0~1","3~2","0~1","2~2","3~2","0~1","0~1","1~2","0~1"
"Carpi","1~1","1~2",NA,"1~2","1~0","0~1","2~1","4~1","1~2","2~3","1~3","0~0","0~0","1~1","1~3","2~1","1~3","2~1","2~1","0~0"
"Chievo","1~0","0~0","1~0",NA,"1~1","0~0","5~1","1~0","0~1","0~4","4~0","0~0","0~1","3~1","3~3","1~1","1~1","1~0","2~3","1~1"
"Empoli","0~1","0~0","3~0","1~3",NA,"2~0","1~2","2~0","0~1","1~3","1~0","2~2","2~2","0~0","1~3","1~1","1~0","2~1","1~1","1~0"
"Fiorentina","3~0","2~0","2~1","2~0","2~2",NA,"4~1","1~0","2~1","1~2","1~3","2~0","1~1","0~0","1~2","1~1","3~1","2~0","3~0","1~1"
"Frosinone","0~0","1~0","2~1","0~2","2~0","0~0",NA,"2~2","0~1","0~2","0~0","2~4","1~5","0~2","0~2","2~0","0~1","1~2","2~0","3~2"
"Genoa","1~2","0~1","1~2","3~2","1~0","0~0","4~0",NA,"1~0","0~2","0~0","1~0","0~0","4~0","2~3","2~3","2~1","3~2","2~1","2~0"
"Inter","1~0","2~1","1~1","1~0","2~1","1~4","4~0","1~0",NA,"0~0","1~2","1~0","2~0","3~1","1~0","3~1","0~1","1~2","3~1","1~0"
"Juventus","2~0","3~1","2~0","1~1","1~0","3~1","1~1","1~0","2~0",NA,"3~0","1~0","1~0","4~0","1~0","5~0","1~0","2~1","0~1","3~0"
"Lazio","2~0","2~1","0~0","4~1","2~0","2~4","2~0","2~0","2~0","0~2",NA,"1~3","0~2","1~1","1~4","1~1","0~2","3~0","2~0","5~2"
"Milan","0~0","0~1","0~0","1~0","2~1","2~0","3~3","2~1","3~0","1~2","1~1",NA,"0~4","3~2","1~3","4~1","2~1","1~0","1~1","1~1"
"Napoli","2~1","6~0","1~0","3~1","5~1","2~1","4~0","3~1","2~1","2~1","5~0","1~1",NA,"2~0","0~0","2~2","3~1","2~1","1~0","3~0"
"Palermo","2~2","0~0","2~2","1~0","0~1","1~3","4~1","1~0","1~1","0~3","0~3","0~2","0~1",NA,"2~4","2~0","0~1","1~3","4~1","3~2"
"Roma","0~2","1~1","5~1","3~0","3~1","4~1","3~1","2~0","1~1","2~1","2~0","1~1","1~0","5~0",NA,"2~1","2~2","3~2","3~1","1~1"
"Sampdoria","0~0","2~0","5~2","0~1","1~1","0~2","2~0","0~3","1~1","1~2","2~1","0~1","2~4","2~0","2~1",NA,"1~3","2~2","2~0","4~1"
"Sassuolo","2~2","0~2","1~0","1~1","3~2","1~1","2~2","0~1","3~1","1~0","2~1","2~0","2~1","2~2","0~2","0~0",NA,"1~1","1~1","1~0"
"Torino","2~1","2~0","0~0","1~2","0~1","3~1","4~2","3~3","0~1","1~4","1~1","1~1","1~2","2~1","1~1","2~0","1~3",NA,"0~1","0~0"
"Udinese","2~1","0~1","1~2","0~0","1~2","2~1","1~0","1~1","0~4","0~4","0~0","2~3","3~1","0~1","1~2","1~0","0~0","1~5",NA,"2~0"
"Verona","2~1","0~2","1~2","3~1","0~1","0~2","1~2","1~1","3~3","2~1","1~2","2~1","0~2","0~1","1~1","0~3","1~1","2~2","1~1",NA
