"Home...Away","ATA","BOL","CAG","CHI","CRO","EMP","FIO","GEN","INT","JUV","LAZ","MIL","NAP","PAL","PES","ROM","SAM","SAS","TOR","UDI"
"Atalanta",NA,"3~2","2~0","1~0","1~0","2~1","0~0","3~0","2~1","2~2","3~4","1~1","1~0","0~1","3~0","2~1","1~0","1~1","2~1","1~3"
"Bologna","0~2",NA,"2~1","4~1","1~0","0~0","0~1","0~1","0~1","1~2","0~2","0~1","1~7","3~1","3~1","0~3","2~0","1~1","2~0","4~0"
"Cagliari","3~0","1~1",NA,"4~0","2~1","3~2","3~5","4~1","1~5","0~2","0~0","2~1","0~5","2~1","1~0","2~2","2~1","4~3","2~3","2~1"
"Chievo","1~4","1~1","1~0",NA,"1~2","4~0","0~3","0~0","2~0","1~2","1~1","1~3","1~3","1~1","2~0","3~5","2~1","2~1","1~3","0~0"
"Crotone","1~3","0~1","1~2","2~0",NA,"4~1","0~1","1~3","2~1","0~2","3~1","1~1","1~2","1~1","2~1","0~2","1~1","0~0","0~2","1~0"
"Empoli","0~1","3~1","2~0","0~0","2~1",NA,"0~4","0~2","0~2","0~3","1~2","1~4","2~3","1~0","1~1","0~0","0~1","1~3","1~1","1~0"
"Fiorentina","0~0","1~0","1~0","1~0","1~1","1~2",NA,"3~3","5~4","2~1","3~2","0~0","3~3","2~1","2~2","1~0","1~1","2~1","2~2","3~0"
"Genoa","0~5","1~1","3~1","1~2","2~2","0~0","1~0",NA,"1~0","3~1","2~2","3~0","0~0","3~4","1~1","0~1","0~1","0~1","2~1","1~1"
"Inter","7~1","1~1","1~2","3~1","3~0","2~0","4~2","2~0",NA,"2~1","3~0","2~2","0~1","1~1","3~0","1~3","1~2","1~2","2~1","5~2"
"Juventus","3~1","3~0","4~0","2~0","3~0","2~0","2~1","4~0","1~0",NA,"2~0","2~1","2~1","4~1","3~0","1~0","4~1","3~1","1~1","2~1"
"Lazio","2~1","1~1","4~1","0~1","1~0","2~0","3~1","3~1","1~3","0~1",NA,"1~1","0~3","6~2","3~0","0~2","7~3","2~1","3~1","1~0"
"Milan","0~0","3~0","1~0","3~1","2~1","1~2","2~1","1~0","2~2","1~0","2~0",NA,"1~2","4~0","1~0","1~4","0~1","4~3","3~2","0~1"
"Napoli","0~2","3~1","3~1","2~0","3~0","2~0","4~1","2~0","3~0","1~1","1~1","4~2",NA,"1~1","3~1","1~3","2~1","1~1","5~3","3~0"
"Palermo","1~3","0~0","1~3","0~2","1~0","2~1","2~0","1~0","0~1","0~1","0~1","1~2","0~3",NA,"1~1","0~3","1~1","0~1","1~4","1~3"
"Pescara","0~1","0~3","1~1","0~2","0~1","0~4","1~2","5~0","1~2","0~2","2~6","1~1","2~2","2~0",NA,"1~4","1~1","1~3","0~0","1~3"
"Roma","1~1","3~0","1~0","3~1","4~0","2~0","4~0","3~2","2~1","3~1","1~3","1~0","1~2","4~1","3~2",NA,"3~2","3~1","4~1","4~0"
"Sampdoria","2~1","3~1","1~1","1~1","1~2","0~0","2~2","2~1","1~0","0~1","1~2","0~1","2~4","1~1","3~1","3~2",NA,"3~2","2~0","0~0"
"Sassuolo","0~3","0~1","6~2","1~3","2~1","3~0","2~2","2~0","0~1","0~2","1~2","0~1","2~2","4~1","0~3","1~3","2~1",NA,"0~0","1~0"
"Torino","1~1","5~1","5~1","2~1","1~1","0~0","2~1","1~0","2~2","1~3","2~2","2~2","0~5","3~1","5~3","3~1","1~1","5~3",NA,"2~2"
"Udinese","1~1","1~0","2~1","1~2","2~0","2~0","2~2","3~0","1~2","1~1","0~3","2~1","1~2","4~1","3~1","0~1","1~1","1~2","2~2",NA
