"Home...Away","ATA","BEN","BOL","CAG","CHI","CRO","FIO","GEN","INT","JUV","LAZ","MIL","NAP","ROM","SAM","SAS","SPA","TOR","UDI","VER"
"Atalanta",NA,"1~0","1~0","1~2","1~0","5~1","1~1","3~1","0~0","2~2","3~3","1~1","0~1","0~1","1~2","2~1","1~1","2~1","2~0","3~0"
"Benevento","0~3",NA,"0~1","1~2","1~0","3~2","0~3","1~0","1~2","2~4","1~5","2~2","0~2","0~4","3~2","1~2","1~2","0~1","3~3","3~0"
"Bologna","0~1","3~0",NA,"1~1","1~2","2~3","1~2","2~0","1~1","0~3","1~2","1~2","0~3","1~1","3~0","2~1","2~1","1~1","1~2","2~0"
"Cagliari","1~0","2~1","0~0",NA,"0~2","1~0","0~1","2~3","1~3","0~1","2~2","1~2","0~5","0~1","2~2","0~1","2~0","0~4","2~1","2~1"
"Chievo","1~1","1~0","2~3","2~1",NA,"2~1","2~1","0~1","1~2","0~2","1~2","1~4","0~0","0~0","2~1","1~1","2~1","0~0","1~1","3~2"
"Crotone","1~1","2~0","1~0","1~1","1~0",NA,"2~1","0~1","0~2","1~1","2~2","0~3","0~1","0~2","4~1","4~1","2~3","2~2","0~3","0~0"
"Fiorentina","1~1","1~0","2~1","0~1","1~0","2~0",NA,"0~0","1~1","0~2","3~4","1~1","3~0","2~4","1~2","3~0","0~0","3~0","2~1","1~4"
"Genoa","1~2","1~0","0~1","2~1","1~1","1~0","2~3",NA,"2~0","2~4","2~3","0~1","2~3","1~1","0~2","1~0","1~1","1~2","0~1","3~1"
"Inter","2~0","2~0","2~1","4~0","5~0","1~1","3~0","1~0",NA,"2~3","0~0","3~2","0~0","1~1","3~2","1~2","2~0","1~1","1~3","3~0"
"Juventus","2~0","2~1","3~1","3~0","3~0","3~0","1~0","1~0","0~0",NA,"1~2","3~1","0~1","1~0","3~0","7~0","4~1","4~0","2~0","2~1"
"Lazio","1~1","6~2","1~1","3~0","5~1","4~0","1~1","1~2","2~3","0~1",NA,"4~1","1~4","0~0","4~0","6~1","0~0","1~3","3~0","2~0"
"Milan","0~2","0~1","2~1","2~1","3~2","1~0","5~1","0~0","0~0","0~2","2~1",NA,"0~0","0~2","1~0","1~1","2~0","0~0","2~1","4~1"
"Napoli","3~1","6~0","3~1","3~0","2~1","2~1","0~0","1~0","0~0","0~1","4~1","2~1",NA,"2~4","3~2","3~1","1~0","2~2","4~2","2~0"
"Roma","1~2","5~2","1~0","1~0","4~1","1~0","0~2","2~1","1~3","0~0","2~1","0~2","0~1",NA,"0~1","1~1","3~1","3~0","3~1","3~0"
"Sampdoria","3~1","2~1","1~0","4~1","4~1","5~0","3~1","0~0","0~5","3~2","1~2","2~0","0~2","1~1",NA,"0~1","2~0","1~1","2~1","2~0"
"Sassuolo","0~3","2~2","0~1","0~0","0~0","2~1","1~0","0~0","1~0","1~3","0~3","0~2","1~1","0~1","1~0",NA,"1~1","1~1","0~1","0~2"
"Spal","1~1","2~0","1~0","0~2","0~0","1~1","1~1","1~0","1~1","0~0","2~5","0~4","2~3","0~3","3~1","0~1",NA,"2~2","3~2","2~2"
"Torino","1~1","3~0","3~0","2~1","1~1","4~1","1~2","0~0","1~0","0~1","0~1","1~1","1~3","0~1","2~2","3~0","2~1",NA,"2~0","2~2"
"Udinese","2~1","2~0","1~0","0~1","1~2","1~2","0~2","1~0","0~4","2~6","1~2","1~1","0~1","0~2","4~0","1~2","1~1","2~3",NA,"4~0"
"Verona","0~5","1~0","2~3","1~0","1~0","0~3","0~5","0~1","1~2","1~3","0~3","3~0","1~3","0~1","0~0","0~1","1~3","2~1","0~1",NA
