"Home...Away","ATA","BOL","BRE","CAG","FIO","GEN","INT","JUV","LAZ","LEC","MIL","NAP","PAR","ROM","SAM","SAS","SPA","TOR","UDI","VER"
"Atalanta",NA,"1~0","6~2","0~2","2~2","2~2","0~2","1~3","3~2","3~1","5~0","2~0","5~0","2~1","2~0","4~1","1~2","2~3","7~1","3~2"
"Bologna","2~1",NA,"2~1","1~1","1~1","0~3","1~2","0~2","2~2","3~2","2~3","1~1","2~2","1~2","2~1","1~2","1~0","1~1","1~1","1~1"
"Brescia","0~3","3~4",NA,"2~2","0~0","2~2","1~2","1~2","1~2","3~0","0~1","1~2","1~2","0~3","1~1","0~2","2~1","0~4","1~1","2~0"
"Cagliari","0~1","3~2","0~1",NA,"5~2","3~1","1~2","2~0","1~2","0~0","0~2","0~1","2~2","3~4","4~3","1~1","2~0","4~2","0~1","1~1"
"Fiorentina","1~2","4~0","1~1","0~0",NA,"0~0","1~1","0~0","1~2","0~1","1~1","3~4","1~1","1~4","2~1","1~3","1~0","2~0","1~0","1~1"
"Genoa","1~2","0~0","3~1","1~0","2~1",NA,"0~3","1~3","2~3","2~1","1~2","1~2","1~4","1~3","0~1","2~1","2~0","0~1","1~3","3~0"
"Inter","1~1","1~2","6~0","1~1","0~0","4~0",NA,"1~2","1~0","4~0","4~2","2~0","2~2","0~0","2~1","3~3","2~1","3~1","1~0","2~1"
"Juventus","2~2","2~1","2~0","4~0","3~0","2~1","2~0",NA,"2~1","4~0","1~0","4~3","2~1","1~3","2~0","2~2","2~0","4~1","3~1","2~1"
"Lazio","3~3","2~0","2~0","2~1","2~1","4~0","2~1","3~1",NA,"4~2","0~3","1~0","2~0","1~1","5~1","1~2","5~1","4~0","3~0","0~0"
"Lecce","2~7","2~3","3~1","2~2","1~3","2~2","1~1","1~1","2~1",NA,"1~4","1~4","3~4","0~1","1~2","2~2","2~1","4~0","0~1","0~1"
"Milan","1~1","5~1","1~0","3~0","1~3","1~2","0~2","4~2","1~2","2~2",NA,"1~1","3~1","2~0","0~0","0~0","1~0","1~0","3~2","1~1"
"Napoli","2~2","1~2","2~1","0~1","0~2","0~0","1~3","2~1","3~1","2~3","2~2",NA,"1~2","2~1","2~0","2~0","3~1","2~1","2~1","2~0"
"Parma","1~2","2~2","1~1","1~3","1~2","5~1","1~2","0~1","0~1","2~0","0~1","2~1",NA,"2~0","2~3","1~0","0~1","3~2","2~0","0~1"
"Roma","0~2","2~3","3~0","1~1","2~1","3~3","2~2","1~2","1~1","4~0","2~1","2~1","2~1",NA,"2~1","4~2","3~1","0~2","0~2","2~1"
"Sampdoria","0~0","1~2","5~1","3~0","1~5","1~2","1~3","1~2","0~3","1~1","1~4","2~4","0~1","0~0",NA,"0~0","3~0","1~0","2~1","2~1"
"Sassuolo","1~4","3~1","3~0","2~2","1~2","5~0","3~4","3~3","1~2","4~2","1~2","1~2","0~1","4~2","4~1",NA,"3~0","2~1","0~1","3~3"
"Spal","2~3","1~3","0~1","0~1","1~3","1~1","0~4","1~2","2~1","1~3","2~2","1~1","1~0","1~6","0~1","1~2",NA,"1~1","0~3","0~2"
"Torino","0~7","1~0","3~1","1~1","2~1","3~0","0~3","0~1","1~2","1~2","2~1","0~0","1~1","2~3","1~3","2~1","1~2",NA,"1~0","1~1"
"Udinese","2~3","1~0","0~1","2~1","0~0","2~2","0~2","2~1","0~0","1~2","1~0","1~1","1~3","0~4","1~3","3~0","0~0","1~0",NA,"0~0"
"Verona","1~1","1~1","2~1","2~1","1~0","2~1","2~2","2~1","1~5","3~0","0~1","0~2","3~2","1~3","2~0","0~1","3~0","3~3","0~0",NA
