"Home...Away","ATA","BEN","BOL","CAG","CRO","FIO","GEN","INT","JUV","LAZ","MIL","NAP","PAR","ROM","SAM","SAS","SPE","TOR","UDI","VER"
"Atalanta",NA,"2~0","5~0","5~2","5~1","3~0","0~0","1~1","1~0","1~3","0~2","4~2","3~0","4~1","1~3","5~1","3~1","3~3","3~2","0~2"
"Benevento","1~4",NA,"1~0","1~3","1~1","1~4","2~0","2~5","1~1","1~1","0~2","1~2","2~2","0~0","1~1","0~1","0~3","2~2","2~4","0~3"
"Bologna","2~2","1~1",NA,"3~2","1~0","3~3","0~2","0~1","1~4","2~0","1~2","0~1","4~1","1~5","3~1","3~4","4~1","1~1","2~2","1~0"
"Cagliari","0~1","1~2","1~0",NA,"4~2","0~0","0~1","1~3","1~3","0~2","0~2","1~4","4~3","3~2","2~0","1~1","2~2","0~1","1~1","0~2"
"Crotone","1~2","4~1","2~3","0~2",NA,"0~0","0~3","0~2","1~1","0~2","0~2","0~4","2~1","1~3","0~1","1~2","4~1","4~2","1~2","2~1"
"Fiorentina","2~3","0~1","0~0","1~0","2~1",NA,"1~1","0~2","1~1","2~0","2~3","0~2","3~3","1~2","1~2","1~1","3~0","1~0","3~2","1~1"
"Genoa","3~4","2~2","2~0","1~0","4~1","1~1",NA,"0~2","1~3","1~1","2~2","2~1","1~2","1~3","1~1","1~2","2~0","1~2","1~1","2~2"
"Inter","1~0","4~0","3~1","1~0","6~2","4~3","3~0",NA,"2~0","3~1","1~2","1~0","2~2","3~1","5~1","2~1","2~1","4~2","5~1","1~0"
"Juventus","1~1","0~1","2~0","2~0","3~0","0~3","3~1","3~2",NA,"3~1","0~3","2~1","3~1","2~0","3~0","3~1","3~0","2~1","4~1","1~1"
"Lazio","1~4","5~3","2~1","1~0","3~2","2~1","4~3","1~1","1~1",NA,"3~0","2~0","1~0","3~0","1~0","2~1","2~1","0~0","1~3","1~2"
"Milan","0~3","2~0","2~0","0~0","4~0","2~0","2~1","0~3","1~3","3~2",NA,"0~1","2~2","3~3","1~1","1~2","3~0","2~0","1~1","2~2"
"Napoli","4~1","2~0","3~1","1~1","4~3","6~0","6~0","1~1","1~0","5~2","1~3",NA,"2~0","4~0","2~1","0~2","1~2","1~1","5~1","1~1"
"Parma","2~5","0~0","0~3","0~0","3~4","0~0","1~2","1~2","0~4","0~2","1~3","0~2",NA,"2~0","0~2","1~3","2~2","0~3","2~2","1~0"
"Roma","1~1","5~2","1~0","3~2","5~0","2~0","1~0","2~2","2~2","2~0","1~2","0~2","3~0",NA,"1~0","0~0","4~3","3~1","3~0","3~1"
"Sampdoria","0~2","2~3","1~2","2~2","3~1","2~1","1~1","2~1","0~2","3~0","1~2","0~2","3~0","2~0",NA,"2~3","2~2","1~0","2~1","3~1"
"Sassuolo","1~1","1~0","1~1","1~1","4~1","3~1","2~1","0~3","1~3","2~0","1~2","3~3","1~1","2~2","1~0",NA,"1~2","3~3","0~0","3~2"
"Spezia","0~0","1~1","2~2","2~1","3~2","2~2","1~2","1~1","1~4","1~2","2~0","1~4","2~2","2~2","2~1","1~4",NA,"4~1","0~1","0~1"
"Torino","2~4","1~1","1~1","2~3","0~0","1~1","0~0","1~2","2~2","3~4","0~7","0~2","1~0","3~1","2~2","3~2","0~0",NA,"2~3","1~1"
"Udinese","1~1","0~2","1~1","0~1","0~0","1~0","1~0","0~0","1~2","0~1","1~2","1~2","3~2","0~1","0~1","2~0","0~2","0~1",NA,"2~0"
"Verona","0~2","3~1","2~2","1~1","2~1","1~2","0~0","1~2","1~1","0~1","0~2","3~1","2~1","0~0","1~2","0~2","1~1","1~1","1~0",NA
