"Home...Away","ATA","BOL","CRE","EMP","FIO","INT","JUV","LAZ","LEC","MIL","MON","NAP","ROM","SAL","SAM","SAS","SPE","TOR","UDI","VER"
"Atalanta",NA,"0~2","1~1","2~1","1~0","2~3","0~2","0~2","1~2","1~1","5~2","1~2","3~1","8~2","2~0","2~1","3~2","3~1","0~0","3~1"
"Bologna","1~2",NA,"1~1","0~1","2~1","1~0","1~1","0~0","2~0","1~1","0~1","2~2","0~0","1~1","1~1","3~0","2~0","2~1","3~0","1~1"
"Cremonese","1~3","1~5",NA,"1~0","0~2","1~2","0~1","0~4","0~2","0~0","2~3","1~4","2~1","2~0","0~1","0~0","2~0","1~2","0~0","1~1"
"Empoli","0~2","3~1","2~0",NA,"0~0","0~3","4~1","0~2","1~0","1~3","1~0","0~2","1~2","2~1","1~0","1~0","2~2","2~2","0~1","1~1"
"Fiorentina","1~1","1~2","3~2","1~1",NA,"3~4","1~1","0~4","1~0","2~1","1~1","0~0","2~1","2~1","5~0","2~1","1~1","0~1","2~0","2~0"
"Inter","3~2","6~1","3~1","0~1","0~1",NA,"0~1","3~1","2~0","1~0","0~1","1~0","1~2","2~0","3~0","4~2","3~0","1~0","3~1","1~0"
"Juventus","3~3","3~0","2~0","4~0","1~0","2~0",NA,"3~0","2~1","0~1","0~2","0~1","1~1","2~2","4~2","3~0","2~0","4~2","1~0","1~0"
"Lazio","0~2","2~1","3~2","2~2","1~1","3~1","2~1",NA,"2~2","4~0","1~0","1~2","1~0","1~3","1~0","2~0","4~0","0~1","0~0","2~0"
"Lecce","2~1","2~3","1~1","1~1","1~1","1~2","0~1","2~1",NA,"2~2","1~1","1~2","1~1","1~2","1~1","0~1","0~0","0~2","1~0","0~1"
"Milan","2~0","2~0","1~1","0~0","2~1","3~2","2~0","2~0","2~0",NA,"4~1","1~2","2~2","1~1","5~1","2~5","2~1","1~0","4~2","3~1"
"Monza","0~2","1~2","1~1","2~1","3~2","2~2","1~0","0~2","0~1","0~1",NA,"2~0","1~1","3~0","2~2","1~1","2~0","1~2","1~2","2~0"
"Napoli","2~0","3~2","3~0","2~0","1~0","3~1","5~1","0~1","1~1","0~4","4~0",NA,"2~1","1~1","2~0","4~0","1~0","3~1","3~2","0~0"
"Roma","0~1","1~0","1~0","2~0","2~0","0~2","1~0","0~1","2~1","1~1","3~0","0~1",NA,"2~2","3~0","3~4","2~1","1~1","3~0","1~0"
"Salernitana","1~0","2~2","2~2","2~2","3~3","1~1","0~3","0~2","1~2","1~2","3~0","0~2","0~1",NA,"4~0","3~0","1~0","1~1","3~2","2~1"
"Sampdoria","0~2","1~2","2~3","1~1","0~2","0~0","0~0","1~1","0~2","1~2","0~3","0~2","0~1","0~0",NA,"2~2","1~1","0~2","0~1","3~1"
"Sassuolo","1~0","1~1","3~2","2~1","1~3","1~2","1~0","0~2","1~0","0~0","1~2","0~2","1~1","5~0","1~2",NA,"1~0","1~1","1~3","2~1"
"Spezia","2~2","2~2","2~2","1~0","1~2","2~1","0~2","0~3","0~0","2~0","0~2","0~3","0~2","1~1","2~1","2~2",NA,"0~4","1~1","0~0"
"Torino","1~2","1~0","2~2","1~1","1~1","0~1","0~1","0~0","1~0","2~1","1~1","0~4","0~1","1~1","2~0","0~1","0~1",NA,"1~0","1~1"
"Udinese","2~2","1~2","3~0","1~1","1~0","3~1","0~1","0~1","1~1","3~1","2~2","1~1","4~0","0~0","2~0","2~2","2~2","1~2",NA,"1~1"
"Verona","0~1","2~1","2~0","1~1","0~3","0~6","0~1","1~1","2~0","1~2","1~1","2~5","1~3","1~0","2~1","2~1","1~2","0~1","1~2",NA
