"Home...Away","ATA","BOL","CAG","EMP","FIO","FRO","GEN","INT","JUV","LAZ","LEC","MIL","MON","NAP","ROM","SAL","SAS","TOR","UDI","VER"
"Atalanta",NA,"1~2","2~0","2~0","2~3","5~0","2~0","1~2","0~0","3~1","1~0","3~2","3~0","1~2","2~1","4~1","3~0","3~0","2~0","2~2"
"Bologna","1~0",NA,"2~1","3~0","2~0","2~1","1~1","0~1","3~3","1~0","4~0","0~2","0~0","0~0","2~0","3~0","4~2","2~0","1~1","2~0"
"Cagliari","2~1","2~1",NA,"0~0","2~3","4~3","2~1","0~2","2~2","1~3","1~1","1~3","1~1","1~1","1~4","4~2","2~1","1~2","0~0","1~1"
"Empoli","0~3","0~1","0~1",NA,"1~1","0~0","0~0","0~1","0~2","0~2","1~1","0~3","3~0","1~0","2~1","1~0","3~4","3~2","0~0","0~1"
"Fiorentina","3~2","2~1","3~0","0~2",NA,"5~1","1~1","0~1","0~1","2~1","2~2","1~2","2~1","2~2","2~2","3~0","5~1","1~0","2~2","1~0"
"Frosinone","2~1","0~0","3~1","2~1","1~1",NA,"2~1","0~5","1~2","2~3","1~1","2~3","2~3","1~3","0~3","3~0","4~2","0~0","0~1","2~1"
"Genoa","1~4","2~0","3~0","1~1","1~4","1~1",NA,"1~1","1~1","0~1","2~1","0~1","2~3","2~2","4~1","1~0","2~1","0~0","2~0","1~0"
"Inter","4~0","2~2","2~2","2~0","4~0","2~0","2~1",NA,"1~0","1~1","2~0","5~1","2~0","1~1","1~0","4~0","1~2","2~0","4~0","2~1"
"Juventus","2~2","1~1","2~1","1~1","1~0","3~2","0~0","1~1",NA,"3~1","1~0","0~0","2~0","1~0","1~0","1~1","3~0","2~0","0~1","1~0"
"Lazio","3~2","1~2","1~0","2~0","1~0","3~1","0~1","0~2","1~0",NA,"1~0","0~1","1~1","0~0","0~0","4~1","1~1","2~0","1~2","1~0"
"Lecce","0~2","1~1","1~1","1~0","3~2","2~1","1~0","0~4","0~3","2~1",NA,"2~2","1~1","0~4","0~0","2~0","1~1","0~1","0~2","0~1"
"Milan","1~1","2~2","5~1","1~0","1~0","3~1","3~3","1~2","0~1","2~0","3~0",NA,"3~0","1~0","3~1","3~3","1~0","4~1","0~1","1~0"
"Monza","1~2","0~0","1~0","2~0","0~1","0~1","1~0","1~5","1~2","2~2","1~1","4~2",NA,"2~4","1~4","3~0","1~0","1~1","1~1","0~0"
"Napoli","0~3","0~2","2~1","0~1","1~3","2~2","1~1","0~3","2~1","1~2","0~0","2~2","0~0",NA,"2~2","2~1","2~0","1~1","4~1","2~1"
"Roma","1~1","1~3","4~0","7~0","1~1","2~0","1~0","2~4","1~1","1~0","2~1","1~2","1~0","2~0",NA,"2~2","1~0","3~2","3~1","2~1"
"Salernitana","1~2","1~2","2~2","1~3","0~2","1~1","1~2","0~4","1~2","2~1","0~1","2~2","0~2","0~2","1~2",NA,"2~2","0~3","1~1","1~2"
"Sassuolo","0~2","1~1","0~2","2~3","1~0","1~0","1~2","1~0","4~2","0~2","0~3","3~3","0~1","1~6","1~2","2~2",NA,"1~1","1~1","3~1"
"Torino","3~0","0~0","0~0","1~0","0~0","0~0","1~0","0~3","0~0","0~2","2~0","3~1","1~0","3~0","1~1","0~0","2~1",NA,"1~1","0~0"
"Udinese","1~1","3~0","1~1","1~1","0~2","0~0","2~2","1~2","0~3","1~2","1~1","2~3","0~0","1~1","1~2","1~1","2~2","0~2",NA,"3~3"
"Verona","0~1","0~0","2~0","2~1","2~1","1~1","1~2","2~2","2~2","1~1","2~2","1~3","1~3","1~3","2~1","0~1","1~0","1~2","1~0",NA
